layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011138,PKR060142,Marcus Rec Ctr - Structural/drainage work,300000,0,,Major Maintenance,Under Design,-96.8771101587317,32.9044518722715
Active Bond Program,1011139,PKR060143,Marcus Rec Ctr - Replace HVAC,253259,0,,Major Maintenance,Under Design,-96.8774187660598,32.9046049922761
Active Bond Program,1011142,PKR060156,Martin Weiss Rec Ctr - Replace HVAC,300000,0,,Major Maintenance,Under Construction,-96.8766293260262,32.7336920886448
Active Bond Program,1011148,PKR060175,Anita Martinez Rec Ctr - ADA Compliance,250000,0,,Major Maintenance,Under Construction,-96.8394535184189,32.7806477099849
Active Bond Program,1011152,PKR060200,Singing Hills Rec Ctr - Replace HVAC,300000,0,,Major Maintenance,Under Design,-96.7931690611855,32.668512679078
Active Bond Program,1011153,PKR060204,Tommie M. Allen Rec Ctr - Roof Replacement,255000,0,,Roof Replacement,Under Construction,-96.7533279708198,32.6594526137461
Active Bond Program,1011209,PRK00072,Lakeland Hills Park Pavilion,359500,0,,Recreation Facilities and Site Development,Under Design,-96.6974302570249,32.8040162029376
Active Bond Program,1011210,PRK00075,Lakeland Hills Park-PRK00075,166331,0,,Recreation Facilities and Site Development,Under Design,-96.6972927303955,32.8043926234113
Active Bond Program,1011235,PRK00855,Hillcrest Park-PRK00855,400000,0,,Recreation Facilities and Site Development,Under Construction,-96.7872643360567,32.934554192287
Active Bond Program,1011251,PRK01569,Sargent Park-PRK01569,500000,0,,Recreation Facilities and Site Development,Under Design,-96.7710729299842,32.7243135774938
Active Bond Program,1011256,PRK01760,Kidd Springs Trail,122826,0,,Recreation Facilities and Site Development,Under Construction,-96.834202677346,32.7528426753475
Active Bond Program,1011261,PRK01876,Park In The Woods-PRK01876,100000,0,,Recreation Facilities and Site Development,Under Construction,-96.9545967070369,32.641794071615
Active Bond Program,1011262,PRK01878,Park In The Woods-PRK01878,200000,0,,Recreation Facilities and Site Development,Under Construction,-96.9551273051739,32.6428931009941
Active Bond Program,1011276,PRK02587,Timberglen Park-PRK02587,400000,0,,Recreation Facilities and Site Development,Under Construction,-96.8485128364704,33.0048455272998
Active Bond Program,1011277,PRK02585,Timberglen Park Athletic Fields,614130,0,,Recreation Facilities and Site Development,Under Design,-96.8465583430297,33.0028899037684
Active Bond Program,1011285,PRK03019,Kiest Park.,2000000,0,,Recreation Facilities and Site Development,Under Construction,-96.854421337097,32.7077108369485
Active Bond Program,1011288,PRK03373,Timberglen Park.,672435,0,,Recreation Facilities and Site Development,Under Design,-96.850395588625,33.0045662198999
Active Bond Program,1011290,PRK03410,Fair Park Livestock Building,5117748,0,,Fair Park,Under Design,-96.758227551223,32.7810972629034
Active Bond Program,1011299,PRK04070,Valley View West Park Trail,60000,0,,Recreation Facilities and Site Development,Under Construction,-96.7864896095981,32.9279351222027
