GEOID,district_num
48113016711,7
48113011201,7
48113016707,7
48113007829,11
48113019044,11
48113019046,11
48113012212,5
48113016706,8
48113019048,11
48113017816,5
48113007832,2
48113018152,11
48113000901,9
48113000608,2
48113012213,5
48113010807,6
48113016415,6
48113007701,2
48113013728,12
48113010003,1
48113016418,4
48113013201,10
48113013106,10
48113016417,6
48113014146,3
48113013627,12
48113007205,1
48113007204,1
48113000410,1
48113014160,3
48113016637,6
48113014159,3
48113014150,3
48113014152,3
48113014317,3
48113014151,3
48113014319,3
48113014148,3
48113014315,3
48113014161,3
48113015405,4
48113014139,3
48113014903,3
48113014208,3
48113016633,6
48113011603,8
48113014207,3
48113017005,8
48113017009,8
48113017007,8
48113017706,8
48113017817,5
48113018158,8
48113017313,8
48113018154,11
48113018157,11
48113018300,11
48113018401,11
48113018402,11
48113018403,11
48113018600,11
48113018700,11
48113018143,11
48113019101,11
48113016416,6
48113016525,6
48113017818,8
48113017705,8
48113016710,8
48113008401,5
48113018148,11
48113018156,11
48113016629,6
48113018153,11
48113011202,7
48113009001,5
48113016630,6
48113007834,11
48113007835,11
48113017819,5
48113018159,8
48113009203,8
48113009002,8
48113019102,11
48113007833,11
48113017312,8
48113012102,8
48113016805,7
48113016529,6
48113011604,8
48113018145,11
48113018149,11
48113017010,8
48113017309,8
48113018801,11
48113018802,11
48113018900,11
48113019013,11
48113019016,11
48113019020,11
48113019023,11
48113019024,11
48113019025,11
48113019026,11
48113019027,11
48113019028,11
48113021100,7
48113016632,6
48113016628,7
48113011901,8
48113011902,8
48113009204,8
48113011802,8
48113017307,8
48113016627,7
48113011801,8
48113001601,9
48113007828,11
48113013013,11
48113002703,5
48113020900,5
48113018147,11
48113021000,7
48113017308,8
48113017203,8
48113017311,8
48113017314,8
48113017006,8
48113012101,8
48113017820,5
48113016806,7
48113016631,6
48113020402,14
48113017204,8
48113017315,8
48113017310,8
48113017008,8
48113018155,11
48113017815,5
48113016709,7
48113019029,11
48113019031,11
48113019034,11
48113019035,11
48113019036,11
48113019037,11
48113019202,11
48113019203,11
48113017101,8
48113017201,8
48113019205,11
48113019208,11
48113017400,8
48113017704,8
48113017500,8
48113017805,5
48113017806,5
48113017602,8
48113019210,11
48113019211,11
48113019301,2
48113019400,2
48113019501,2
48113017811,5
48113017812,5
48113017808,11
48113017814,8
48113017900,5
48113019502,13
48113019600,2
48113019700,2
48113019800,2
48113019900,6
48113013607,11
48113015900,4
48113012604,11
48113013010,11
48113013622,12
48113013621,12
48113014135,12
48113014134,12
48113016626,6
48113016621,7
48113016623,6
48113018142,11
48113018141,11
48113018137,11
48113018138,11
48113018140,11
48113019042,11
48113019050,11
48113019052,11
48113019053,11
48113019039,11
48113019213,11
48113013726,12
48113016624,6
48113016622,7
48113010903,6
48113001703,14
48113019212,11
48113020300,5
48113020500,4
48113020600,10
48113020700,12
48113012301,5
48113012302,5
48113013626,12
48113011002,7
48113011101,6
48113011103,7
48113011104,7
48113010101,14
48113010102,14
48113010500,4
48113010601,4
48113010602,4
48113020100,3
48113020200,8
48113014128,3
48113016522,6
48113017606,8
48113000606,2
48113016803,8
48113007812,11
48113009803,1
48113013717,12
48113006100,6
48113017604,8
48113007809,9
48113019033,11
48113013618,11
48113009900,3
48113009804,1
48113016516,6
48113018132,11
48113009103,8
48113001504,9
48113014308,3
48113006800,6
48113006900,6
48113009701,1
48113014603,3
48113016618,6
48113016619,7
48113018130,11
48113019032,11
48113000100,9
48113000201,9
48113000202,9
48113000300,9
48113000401,13
48113000405,13
48113001001,9
48113001002,9
48113001102,9
48113001204,5
48113001301,9
48113001302,9
48113001400,9
48113001101,9
48113001502,9
48113001503,9
48113012209,5
48113016620,7
48113016409,6
48113009303,8
48113016902,8
48113011601,8
48113019302,2
48113014601,3
48113004600,6
48113007102,13
48113007301,13
48113007302,13
48113003700,5
48113007810,11
48113007903,9
48113007906,2
48113016802,8
48113016704,7
48113018105,11
48113018001,11
48113018110,11
48113018203,11
48113018204,11
48113018206,11
48113017703,8
48113008705,7
48113010701,4
48113013901,12
48113004202,6
48113004300,14
48113004400,14
48113004500,6
48113018120,11
48113013615,10
48113013617,12
48113013619,12
48113018121,11
48113018126,11
48113018127,11
48113013715,12
48113013716,12
48113013718,12
48113013719,12
48113013720,12
48113018128,11
48113018129,11
48113013721,12
48113013722,12
48113013725,12
48113013804,12
48113013902,12
48113014001,12
48113019040,11
48113018506,11
48113010904,6
48113014132,12
48113018501,11
48113014119,3
48113014120,12
48113014123,12
48113014126,3
48113014203,3
48113014204,3
48113014306,3
48113012601,11
48113012701,11
48113012702,11
48113012900,11
48113014310,3
48113014405,3
48113014406,3
48113014407,3
48113014408,3
48113014309,3
48113013620,12
48113006402,6
48113010804,6
48113010805,6
48113006401,6
48113013104,2
48113019041,11
48113007823,11
48113007822,2
48113007821,11
48113013011,11
48113007827,11
48113013005,11
48113013007,11
48113013008,11
48113013009,11
48113013101,10
48113007826,11
48113007824,11
48113007825,11
48113013102,10
48113014501,3
48113014502,3
48113014602,3
48113014701,3
48113007910,2
48113007909,2
48113013806,12
48113013727,12
48113014205,3
48113016412,6
48113013300,10
48113013400,10
48113013500,10
48113013605,11
48113013606,12
48113013608,10
48113015202,3
48113015205,3
48113015206,4
48113015303,3
48113015305,3
48113009101,5
48113009401,1
48113009402,1
48113009500,10
48113012603,11
48113014138,3
48113014130,3
48113007912,2
48113013805,12
48113016521,6
48113018505,11
48113980000,3
48113007913,2
48113018133,11
48113020000,3
48113018135,11
48113019018,11
48113015700,4
48113016001,4
48113016002,4
48113016100,4
48113016201,4
48113016301,4
48113016410,6
48113016302,4
48113016511,6
48113016615,6
48113016616,6
48113018111,11
