"X","the_geom","geoid","HUD_ID","Y","project","proj_add","proj_cty","proj_st","proj_zip","COMPANY","ALLOCAMT","N_UNITS","LI_UNITS","P_LI_Units","N_Room","INC_CEIL","LOW_CEIL","CEILUNIT","YR_PIS","YR_ALLOC","NON_PROF","Funding","BASIS","BOND","FMHA_514","FMHA_515","FMHA_538","HOME","HOME_AMT","CDBG","CDBG_AMT","FHA","HOPEVI","HPVI_AMT","RENTASST","MFF_RA","TCAP","TCEP","TRGT_POP","TRGT_FAM","TRGT_ELD","TRGT_DIS","TRGT_HML","trgt_spc","TYPE","CREDIT","DDA","QCT","NONPROG","D_TRGT_ELD"
"-96.6998977661","POINT (-96.69989776599994 32.709278107000046)","481130116013","TXA0000454","32.7092781067","PLEASANT VILLAGE","378 S JIM MILLER RD","DALLAS","TX","75217",,"-9,999","200","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.7526473999","POINT (-96.75264739999994 32.867179871000076)","481130078203","TXA1991140","32.8671798706","CRESTRIDGE APTS","6417 RIDGECREST RD","DALLAS","TX","75231","MITCHELL KENNETH H CPA","-9,999","110","110","100","0 Eff, 107 1BR, 3 2BR, 0 3BR, 0 4BR",,,"0","1,991","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.811706543","POINT (-96.81170654299996 32.933521271000075)","481130136152","TXA1996070","32.9335212708","DALLAS NORTH APTS","5557 ALPHA RD","DALLAS","TX","75240","CMA II LTD","-9,999","206","206","100","0 Eff, 110 1BR, 88 2BR, 0 3BR, 0 4BR",,,"0","1,996","1,994","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Both 30% and 70% present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.716835022","POINT (-96.71683502199994 32.71392059300007)","481130093043","TXA1998115","32.7139205933","LAS LOMAS APTS","6161 TRAIL GLEN DR","DALLAS","TX","75217","LAS LOMAS ASSOC LTD","-9,999","230","138","60","0 Eff, 108 1BR, 84 2BR, 0 3BR, 2 4BR",,,"0","1,998","1,996","No","Increase in eligible basis","Yes","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.7903213501","POINT (-96.79032134999994 32.80078887900004)","481130016002","TXA0000494","32.8007888794","ROSELAND GARDENS*","2255 N WASHINGTON AVE","DALLAS","TX","75204",,"-9,999","100","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.7884216309","POINT (-96.78842163099995 32.79965591400003)","481130016002","TXA2001160","32.7996559143","ROSELAND TOWNHOMES","1949 N WASHINGTON AVE","DALLAS","TX","75204","ROSELAND FAMILY COMMUNITY LP","-9,999","189","144","76.19","0 Eff, 10 1BR, 74 2BR, 0 3BR, 15 4BR",,,"0","2,001","1,999","No","Increase in eligible basis","Yes","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"New Construction","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.6711883545","POINT (-96.67118835399998 32.80906295800003)","481130123021","TXA0000495","32.8090629578","ROSEMONT AT ASH CREEK","2605 JOHN W RD","DALLAS","TX","75228",,"-9,999","278","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.7745742798","POINT (-96.77457427999997 32.71857833900003)","481130086041","TXA0000498","32.7185783386","ROSEMONT AT CEDAR CREST","3303 SOUTHERN OAKS BLVD","DALLAS","TX","75216",,"-9,999","256","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8735961914","POINT (-96.87359619099999 32.644935608000026)","481130166052","TXA0000501","32.6449356079","ROSEMONT AT HICKORY TRACE","8410 S WESTMORELAND RD","DALLAS","TX","75237",,"-9,999","180","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.6694412231","POINT (-96.66944122299998 32.811733246000074)","481130123021","TXA2005325","32.8117332458","SHILOH VILLAGE APTS","8702 SHILOH RD","DALLAS","TX","75228","SHILOH VILLAGE ASSOC LLC","-9,999","168","168","100",,,,"0","2,005","2,004","No",,"No","No",,"No",,"No","0","No","0","No",,"0",,,,,"No",,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.8833618164","POINT (-96.88336181599999 32.90515899700006)","481130096103","TXA1995355","32.9051589966","SIERRA VISTA APTS","2775 NORTHAVEN RD","DALLAS","TX","75229","SIERRA VISTA APTS LP","-9,999","224","224","100","0 Eff, 96 1BR, 108 2BR, 0 3BR, 0 4BR",,,"0","1,995","1,993","Yes",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Both 30% and 70% present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7611618042","POINT (-96.76116180399998 32.93804931600005)","481130192122","TXA1995245","32.9380493164","MEADOWCREEK APTS","14000 MAHAM RD","DALLAS","TX","75240","DALLAS MEADOWCREEK ASSOC LTD","-9,999","71","71","100","0 Eff, 28 1BR, 39 2BR, 0 3BR, 0 4BR",,,"0","1,995","1,993","No","Increase in eligible basis","Yes","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Both 30% and 70% present value","Not in DDA","In a qualified tract","Yes","0"
"-96.8761520386","POINT (-96.87615203899998 32.75460815400004)","481130107011","TXA2011832","32.7546081543","TAYLOR FARMS","32 PINNACLE PARK BLVD","DALLAS","TX",,"TF DEVELOPMENT LP","-9,999","160","160","100","0 Eff, 48 1BR, 88 2BR, 0 3BR, 0 4BR","60% AMGI",,"0","2,011","2,009","No",,"No","No",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8772277832","POINT (-96.87722778299997 32.855442047000054)","481130072015","TXA1993085","32.8554420471","LAKERIDGE APTS","2510 COMMUNITY DR","DALLAS","TX","75220","MITCHELL KENNETH H CPA","-9,999","66","66","100","0 Eff, 38 1BR, 28 2BR, 0 3BR, 0 4BR",,,"0","1,993","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7519302368","POINT (-96.75193023699995 32.86520004300007)","481130078182","TXA1992125","32.8652000427","LE BARON ARMS APTS","6466 RIDGECREST RD","DALLAS","TX","75231","VICKERY DEVELOPMENT INC","-9,999","88","88","100","0 Eff, 44 1BR, 44 2BR, 0 3BR, 0 4BR",,,"0","1,992","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.796053661","POINT (-96.79605366099997 32.71181646800005)","481130088023","TXA1988705","32.7118164677","ST JAMES MANOR","3119 EASTER AVE","DALLAS","TX","75216","WILSHIRE","-9,999","100","100","100","0 Eff, 20 1BR, 40 2BR, 0 3BR, 12 4BR",,,"0","1,988","1,987","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Existing","Not Indicated","Not in DDA","In a qualified tract","No","0"
"-96.7690887451","POINT (-96.76908874499998 32.67025756800007)","481130114013","TXA0000246","32.6702575684","CHAMPION TOWNHOMES AT PECAN GROVE","3131 SIMPSON STUART RD","DALLAS","TX","75241",,"-9,999","250","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8826828003","POINT (-96.88268279999994 32.651706696000076)","481130166073","TXA1994060","32.6517066956","CEDAR RIDGE APTS - DALLAS","7905 MARVIN D LOVE FWY","DALLAS","TX","75237","CARLETON-CEDAR RIDGE LP","-9,999","192","192","100","0 Eff, 64 1BR, 128 2BR, 0 3BR, 0 4BR",,,"0","1,994","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8721073945","POINT (-96.87210739499994 32.65890197300007)","481130109023","TXA1991445","32.6589019729","SURREY ROW","7272 MARVIN D LOVE FWY","DALLAS","TX","75237","PHC SURREY ROW LTD INC","-9,999","359","359","100","57 Eff, 142 1BR, 120 2BR, 57 3BR, 0 4BR",,,"0","1,991","1,989","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"New Construction","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7157923077","POINT (-96.71579230799995 32.80041683400003)","481130122081","TXA1993175","32.8004168344","SPRING GARDENS APTS","7803 FERGUSON RD","DALLAS","TX","75228","MITCHELL KENNETH H CPA","-9,999","60","60","100","0 Eff, 32 1BR, 28 2BR, 0 3BR, 0 4BR",,,"0","1,993","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6583938599","POINT (-96.65839385999999 32.74972534200003)","481130120001","TXA0000017","32.7497253418","BRUTON APTS","9415 BRUTON RD","DALLAS","TX","75217","BRUTON APTS LTD","-9,999","-9,999","0","-9,999",,"60% AMGI",,"0","-9,999","2,014","No",,"No","No",,,,"No","0",,"0",,,"0",,,,,"Yes","No","No","No","No","UNSPECIFIED","New Construction","Not Indicated",,,"Yes","0"
"-96.8691711426","POINT (-96.86917114299996 32.87234115600006)","481130098042","TXA1995410","32.872341156","TRAILS REDEVELOPMENT (DALLAS)","3109 CHAPEL CREEK DR","DALLAS","TX","75220","PROPERTY SOLUTIONS USA INC","-9,999","302","302","100","0 Eff, 136 1BR, 156 2BR, 0 3BR, 0 4BR",,,"0","1,995","1,993","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8668383558","POINT (-96.86683835599996 32.85859142700008)","481130072023","TXA1994230","32.8585914268","PINES POINT","3102 ORADELL LN","DALLAS","TX","75220","MITCHELL KENNETH H CPA","-9,999","327","327","100","55 Eff, 225 1BR, 47 2BR, 55 3BR, 0 4BR",,,"0","1,994","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7159162411","POINT (-96.71591624099995 32.80344033700004)","481130122081","TXA2006200","32.8034403367","PRIMROSE AT HIGHLAND MEADOWS","2100 HIGHLAND RD","DALLAS","TX","75228","PINNACLE FAMILY OF COMPANIES - TEXAS OFFICE","935,153","150","120","80","0 Eff, 42 1BR, 108 2BR, 0 3BR, 0 4BR","60% AMGI","Yes","0","2,006","2,004","Yes","Increase in eligible basis","Yes",,,"No",,"No","0",,"0",,,"0",,,,,"Yes","No","Yes",,,,"New Construction","70 % present value","Not in DDA","In a qualified tract","Yes","1"
"-96.9471893311","POINT (-96.94718933099995 32.66659164400005)","481130165211","TXA0000497","32.6665916443","ROSEMONT AT BLUFF RIDGE","8125 CLARK RD","DALLAS","TX","75236",,"-9,999","253","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8171615601","POINT (-96.81716155999999 32.659389496000074)","481130112001","TXA0000507","32.6593894958","ROSEMONT AT MISSION TRAILS (LAURELAND)","330 E CAMP WISDOM RD","DALLAS","TX","75241",,"-9,999","249","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
