GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113020500,Census Tract 205,5431612,2.0,360.0,360.0,2010.0,62,0,525,0,0,775,1362,0.0,1.0,Dallas Area Habitat for Humanity,0.5491002409969732,True,5,92,685,0.73,AMH 2015 1 BORROWER LLC,SFR TEXAS SUB 2024A LLC,AMH 2014 3 BORROWER LLC
48113020600,Census Tract 206,5323283,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,58,928,0.0,,,
48113020700,Census Tract 207,6008031,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False,16,164,1627,0.983,MA COLUMBIAN OPERATING LLC,KHURRAM PROPERTIES LLC,BAF 4 LLC
48113012301,Census Tract 123.01,1732622,0.0,0.0,0.0,,0,0,1,0,0,2,3,0.0,0.0,,0.0,False,30,232,1226,2.447,FW PROPERTIES LLC,KHAKI INVESTMENTS LLC,GR SFR FUND II A LLC
48113012302,Census Tract 123.02,2386796,3.0,644.0,598.0,2005.0,0,0,321,0,167,0,488,0.0,0.0,,0.0,False,23,156,986,2.333,KHAKI INVESTMENTS LLC,GLENDORA PROPERTIES LLC,MNSF T2 SPE LLC
48113013626,Census Tract 136.26,702421,1.0,168.0,168.0,1996.0,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,0,0,0,0.0,,,
48113011002,Census Tract 110.02,2780437,0.0,0.0,0.0,,0,0,10,0,0,0,10,0.0,0.0,,0.0,False,11,151,1245,0.884,PEAK GLOBAL ENTERPRISES LLC,RS RENTAL III A LLC,JDS HEAVENLY PLACE LLC
48113011101,Census Tract 111.01,4923611,0.0,0.0,0.0,,0,0,28,0,0,0,28,0.0,0.0,,0.0,False,57,177,1506,3.785,ALLIED CAPITAL LLC,FKH SFR C1 LP,SRP SUB LLC
48113011103,Census Tract 111.03,2132599,0.0,0.0,0.0,,0,0,11,0,0,0,11,0.0,0.0,,0.0,False,19,228,1239,1.533,SANTIBANEZ PROPERTIES LLC,JJR HOMES LLC,ALTO ASSET COMPANY 2 LLC
48113011104,Census Tract 111.04,1952401,0.0,0.0,0.0,,0,0,23,0,0,0,23,0.0,0.0,,0.0,False,33,193,1118,2.952,JJR HOMES LLC,JDS HEAVENLY PLACE LLC,CASAS PARA RENTAR LLC
