GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present
48113013718,Census Tract 137.18,1122900,1.0,245.0,245.0,1995.0,0,0,43,0,0,0,43,0.0,0.0,,0.0,False
48113013719,Census Tract 137.19,4628606,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113013720,Census Tract 137.20,2515777,0.0,0.0,0.0,,0,0,13,0,0,0,13,0.0,0.0,,0.0,False
48113018128,Census Tract 181.28,1950196,0.0,0.0,0.0,,0,0,96,0,0,0,96,0.0,0.0,,0.0,False
48113018129,Census Tract 181.29,4002178,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113013721,Census Tract 137.21,3356114,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113013722,Census Tract 137.22,3322672,0.0,0.0,0.0,,0,0,2,0,1,0,3,0.0,0.0,,0.0,False
48113013725,Census Tract 137.25,1839527,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113013804,Census Tract 138.04,2170395,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113013902,Census Tract 139.02,2518503,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113014001,Census Tract 140.01,3657802,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113019040,Census Tract 190.40,5350032,0.0,0.0,0.0,,0,0,110,0,0,0,110,0.0,0.0,,0.0,False
48113018506,Census Tract 185.06,7637375,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113010904,Census Tract 109.04,7622014,3.0,788.0,698.0,2022.0,0,0,241,0,0,0,241,0.0,0.0,,0.23499996408213464,True
48113014132,Census Tract 141.32,1151866,1.0,300.0,300.0,1995.0,0,0,225,0,0,0,225,0.0,0.0,,0.0,False
48113018501,Census Tract 185.01,8899886,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False
48113014119,Census Tract 141.19,3312067,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113014120,Census Tract 141.20,3088207,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False
48113014123,Census Tract 141.23,6458186,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
