GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi
48113011702,Census Tract 117.02,5639,57607.0,12.1,80.0,92.1,31.0,32.3,1,0,0,0.5,0,,0,0,Stable,1,0.6864876918162832,Low,0,15.0,2.0,0.26785714285714285,0.13333333333333333,32.011019379731586,Moderate,0.0201737454484146
48113012000,Census Tract 120,10690,36948.0,41.2,55.2,96.4,78.1,34.7,0,0,0,0.5,0,,0,0,Stable,1,1.1720800525234314,Low,0,14.0,4.0,0.28,0.2857142857142857,33.015736217917166,Moderate,0.0126794003997888
48113012206,Census Tract 122.06,5125,103036.0,39.4,35.0,74.4,10.9,12.4,0,0,0,0.5,0,,0,0,Stable,0,-0.5320387761975385,Accelerating,0,39.0,12.0,0.21910112359550563,0.3076923076923077,26.823542554041463,Moderate,0.0480802869199391
48113012207,Census Tract 122.07,7094,55520.0,39.3,51.7,91.0,63.5,16.5,0,0,0,0.5,0,,0,0,Susceptible,1,0.6912408869280864,Adjacent,0,23.0,7.0,0.3333333333333333,0.30434782608695654,30.1595412850171,Moderate,0.014652898067823
48113012208,Census Tract 122.08,2587,32721.0,34.7,61.3,96.0,100.0,37.1,0,0,0,0.5,1,Far East Dallas PID,1,0,Susceptible,1,1.398420698368536,Adjacent,0,,,,,33.197780584779565,Moderate,0.1047779300065049
48113010704,Census Tract 107.04,6716,42530.0,28.9,62.6,91.5,63.6,30.6,1,0,0,0.5,0,,0,0,Susceptible,1,0.9344111380095859,Adjacent,0,12.0,0.0,0.3076923076923077,0.0,31.727677628888074,Moderate,0.0214610094444835
48113980100,Census Tract 9801,0,,,,0.0,42.0,21.65,0,0,0,0.0,0,,0,0,Stable,0,-0.208415314405955,Adjacent,0,,,,,6.999999999999999,Low,0.149533044477501
48113000605,Census Tract 6.05,2217,109707.0,4.8,15.0,19.8,48.3,17.0,0,1,0,1.0,0,,0,0,Historic Loss,0,-0.6114197718966894,Sustained,1,9.0,1.0,0.1267605633802817,0.1111111111111111,46.251472534798715,Moderate,0.1996888989636197
48113016407,Census Tract 164.07,6320,70323.0,11.1,77.0,88.1,49.7,25.2,1,0,0,0.5,0,,0,0,Stable,0,0.13996604200661722,Low,0,15.0,0.0,0.2112676056338028,0.0,30.56538591178214,Moderate,0.0035297689709737
48113007101,Census Tract 71.01,2313,181944.0,0.0,18.8,18.8,46.7,34.3,0,1,0,0.0,0,,0,0,Stable,0,-0.34215359746020285,Sustained,0,6.0,0.0,0.16666666666666666,0.0,22.89221433062566,Low,0.1590735444802312
48113018002,Census Tract 180.02,3524,75446.0,28.3,47.3,75.6,33.4,24.5,0,0,0,0.5,0,,0,0,Stable,0,-0.12276665283906321,Adjacent,0,12.0,1.0,0.23529411764705882,0.08333333333333333,28.304332140446416,Moderate,0.0094746593844327
48113009105,Census Tract 91.05,3480,61804.0,7.6,85.5,93.1,29.9,11.0,1,0,0,0.5,0,,0,0,Stable,0,-0.22684314140865103,Low,0,12.0,0.0,0.375,0.0,30.909475327751107,Moderate,0.0106183393935664
48113012210,Census Tract 122.10,4166,46376.0,40.4,40.6,81.0,80.5,32.9,0,0,0,0.5,0,,0,0,Susceptible,1,1.0269676789158382,Adjacent,0,11.0,2.0,0.3333333333333333,0.18181818181818182,30.131637261026047,Moderate,0.0163899353169198
48113009610,Census Tract 96.10,5055,52348.0,0.0,85.1,85.1,100.0,16.1,0,0,0,0.5,0,,0,0,Susceptible,1,0.9481905993404576,Adjacent,0,,,,,29.085074578532012,Moderate,0.0576737901169373
48113014121,Census Tract 141.21,5365,95758.0,13.2,24.2,37.4,80.8,15.6,0,0,0,0.5,0,,0,0,Stable,0,-0.19917025351761214,Accelerating,0,6.0,2.0,0.1935483870967742,0.3333333333333333,20.68461894439504,Low,0.0416789343363933
48113004201,Census Tract 42.01,4000,73234.0,7.6,45.8,53.4,47.3,9.8,1,1,0,0.5,0,,0,0,Stable,0,-0.4459281061127976,Sustained,0,20.0,0.0,0.18867924528301888,0.0,38.87585535773992,Moderate,0.1982927511664738
48113017102,Census Tract 171.02,6659,60017.0,20.3,68.5,88.8,34.6,19.3,1,0,0,0.5,0,,0,0,Stable,0,-0.08399155904896173,Low,0,38.0,5.0,0.31932773109243695,0.13157894736842105,30.068494084217424,Moderate,0.1154201976076844
48113011105,Census Tract 111.05,5349,43807.0,48.8,46.7,95.5,63.1,28.6,1,0,0,0.5,0,,0,0,Stable,1,0.9315353065414358,Low,0,15.0,8.0,0.35714285714285715,0.5333333333333333,32.21766422541439,Moderate,0.0003567764751585
48113005901,Census Tract 59.01,5361,50917.0,58.1,39.3,97.4,32.2,18.2,1,0,0,0.5,0,,0,0,Stable,0,0.5055883942188757,Low,0,28.0,11.0,0.32941176470588235,0.39285714285714285,31.458089598399557,Moderate,0.0016822527375274
48113006001,Census Tract 60.01,3824,56585.0,3.7,78.9,82.6,24.3,45.1,1,0,0,1.0,0,,0,0,Stable,1,0.7609420446564954,Low,0,19.0,1.0,0.48717948717948717,0.05263157894736842,44.192530106708965,Moderate,0.0028614082172262
48113006002,Census Tract 60.02,6997,43573.0,65.2,14.9,80.1,91.8,19.3,1,0,0,1.0,0,,0,0,Stable,1,0.8872882019811668,Low,0,6.0,6.0,0.3157894736842105,1.0,41.046166681493354,Moderate,0.0016822527375274
48113006200,Census Tract 62,5514,44949.0,42.7,47.4,90.1,54.9,32.5,1,0,0,1.0,0,,0,0,Susceptible,1,0.8789245495686082,Adjacent,0,26.0,2.0,0.37681159420289856,0.07692307692307693,45.28215223890933,Moderate,0.1562565439769807
48113006301,Census Tract 63.01,6308,69562.0,8.7,89.0,97.7,21.6,2.8,1,0,0,1.0,0,,0,0,Stable,0,-0.3964964911792241,Adjacent,0,28.0,4.0,0.3783783783783784,0.14285714285714285,42.39339389928682,Moderate,0.0218733416576243
48113006302,Census Tract 63.02,3947,83827.0,2.3,73.4,75.7,22.8,11.5,1,0,0,0.67,0,,0,0,Stable,0,-0.43288941241276296,Adjacent,0,13.0,3.0,0.17567567567567569,0.23076923076923078,31.206744172934275,Moderate,0.0867561787578751
48113006501,Census Tract 65.01,5972,76477.0,1.3,92.8,94.1,22.1,4.8,1,0,0,0.5,0,,0,0,Stable,0,-0.3901013428999967,Adjacent,0,21.0,4.0,0.3333333333333333,0.19047619047619047,29.473321319004462,Moderate,0.0218679899107847
48113006502,Census Tract 65.02,3729,74450.0,0.2,92.9,93.1,12.9,6.1,1,0,0,0.67,0,,0,0,Stable,0,-0.45651569971373895,Low,0,12.0,0.0,0.3870967741935484,0.0,33.68484259452613,Moderate,0.0219825666291405
48113011300,Census Tract 113,5173,49643.0,77.6,18.5,96.1,25.2,30.7,1,0,0,0.5,0,,0,0,Stable,0,0.6445328583356569,Low,0,46.0,23.0,0.36507936507936506,0.5,32.54310297038505,Moderate,0.0002307744685105
