GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113003700,70.0,16.0,0.22857142857142856,25.0,5.0,0.2,20.0,5.0,0.25,0.8
48113004201,131.0,17.0,0.1297709923664122,11.0,2.0,0.18181818181818182,76.0,7.0,0.09210526315789473,1.9740259740259742
48113004202,117.0,13.0,0.1111111111111111,6.0,0.0,,76.0,4.0,0.05263157894736842,
48113004300,162.0,11.0,0.06790123456790123,37.0,4.0,0.10810810810810811,77.0,2.0,0.025974025974025976,4.162162162162162
48113004400,93.0,4.0,0.043010752688172046,1.0,0.0,,74.0,3.0,0.04054054054054054,
48113004500,88.0,4.0,0.045454545454545456,4.0,0.0,,63.0,4.0,0.06349206349206349,
48113004600,64.0,6.0,0.09375,3.0,0.0,,45.0,4.0,0.08888888888888889,
48113004700,44.0,5.0,0.11363636363636363,2.0,0.0,,25.0,4.0,0.16,
48113004800,14.0,2.0,0.14285714285714285,1.0,0.0,,5.0,1.0,,
48113005000,25.0,7.0,0.28,1.0,0.0,,10.0,2.0,0.2,
48113005100,23.0,2.0,0.08695652173913043,2.0,1.0,,11.0,0.0,0.0,
48113005200,61.0,5.0,0.08196721311475409,4.0,1.0,,42.0,3.0,0.07142857142857142,
48113005300,83.0,6.0,0.07228915662650602,7.0,1.0,,51.0,3.0,0.058823529411764705,
48113005400,60.0,7.0,0.11666666666666667,4.0,0.0,,29.0,3.0,0.10344827586206896,
48113005500,53.0,6.0,0.11320754716981132,9.0,2.0,,23.0,3.0,0.13043478260869565,
48113005600,43.0,9.0,0.20930232558139536,5.0,0.0,,26.0,6.0,0.23076923076923078,
48113005700,72.0,10.0,0.1388888888888889,7.0,1.0,,40.0,6.0,0.15,
48113005901,65.0,13.0,0.2,15.0,6.0,0.4,27.0,4.0,0.14814814814814814,2.7
48113005902,38.0,4.0,0.10526315789473684,5.0,2.0,,18.0,1.0,0.05555555555555555,
48113006001,28.0,12.0,0.42857142857142855,1.0,1.0,,12.0,2.0,0.16666666666666666,
48113006002,9.0,0.0,0.0,2.0,0.0,,1.0,0.0,,
48113006100,42.0,7.0,0.16666666666666666,6.0,1.0,,22.0,2.0,0.09090909090909091,
48113006200,52.0,4.0,0.07692307692307693,2.0,0.0,,37.0,2.0,0.05405405405405406,
48113006301,44.0,5.0,0.11363636363636363,0.0,0.0,,30.0,3.0,0.1,
48113006302,81.0,3.0,0.037037037037037035,7.0,0.0,,52.0,2.0,0.038461538461538464,
48113006401,26.0,5.0,0.19230769230769232,0.0,0.0,,21.0,4.0,0.19047619047619047,
48113006402,18.0,4.0,0.2222222222222222,1.0,0.0,,12.0,2.0,0.16666666666666666,
48113006501,35.0,4.0,0.11428571428571428,1.0,0.0,,23.0,3.0,0.13043478260869565,
48113006502,20.0,4.0,0.2,0.0,0.0,,14.0,3.0,0.21428571428571427,
48113006701,11.0,2.0,0.18181818181818182,1.0,0.0,,6.0,2.0,,
48113006702,32.0,6.0,0.1875,4.0,1.0,,17.0,2.0,0.11764705882352941,
48113006800,47.0,7.0,0.14893617021276595,4.0,3.0,,31.0,1.0,0.03225806451612903,
48113006900,29.0,1.0,0.034482758620689655,3.0,0.0,,15.0,0.0,0.0,
48113007101,40.0,5.0,0.125,0.0,0.0,,29.0,5.0,0.1724137931034483,
48113007102,197.0,22.0,0.1116751269035533,11.0,2.0,0.18181818181818182,122.0,12.0,0.09836065573770492,1.8484848484848486
48113007203,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
48113007204,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,,
48113007205,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
48113007206,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
48113007301,70.0,1.0,0.014285714285714285,0.0,0.0,,46.0,1.0,0.021739130434782608,
48113007302,152.0,18.0,0.11842105263157894,2.0,0.0,,102.0,10.0,0.09803921568627451,
48113007601,63.0,6.0,0.09523809523809523,2.0,1.0,,35.0,3.0,0.08571428571428572,
48113007604,104.0,8.0,0.07692307692307693,5.0,1.0,,67.0,4.0,0.05970149253731343,
48113007605,75.0,8.0,0.10666666666666667,3.0,0.0,,48.0,4.0,0.08333333333333333,
48113007701,47.0,2.0,0.0425531914893617,0.0,0.0,,31.0,1.0,0.03225806451612903,
48113007702,126.0,12.0,0.09523809523809523,0.0,0.0,,90.0,6.0,0.06666666666666667,
48113007801,46.0,3.0,0.06521739130434782,0.0,0.0,,30.0,2.0,0.06666666666666667,
48113007805,101.0,13.0,0.12871287128712872,5.0,0.0,,63.0,9.0,0.14285714285714285,
48113007809,86.0,6.0,0.06976744186046512,5.0,0.0,,52.0,3.0,0.057692307692307696,
48113007810,98.0,8.0,0.08163265306122448,11.0,1.0,0.09090909090909091,67.0,6.0,0.08955223880597014,1.0151515151515151
48113007812,103.0,7.0,0.06796116504854369,2.0,0.0,,84.0,5.0,0.05952380952380952,
48113007815,92.0,16.0,0.17391304347826086,15.0,8.0,0.5333333333333333,49.0,1.0,0.02040816326530612,26.133333333333336
48113007819,14.0,8.0,0.5714285714285714,0.0,0.0,,9.0,6.0,,
48113007821,44.0,6.0,0.13636363636363635,1.0,0.0,,21.0,1.0,0.047619047619047616,
48113007822,3.0,1.0,0.3333333333333333,1.0,0.0,,2.0,1.0,,
48113007823,101.0,7.0,0.06930693069306931,6.0,1.0,,47.0,2.0,0.0425531914893617,
48113007824,73.0,4.0,0.0547945205479452,0.0,0.0,,57.0,3.0,0.05263157894736842,
48113007825,129.0,15.0,0.11627906976744186,11.0,6.0,0.5454545454545454,90.0,5.0,0.05555555555555555,9.818181818181818
48113007826,34.0,1.0,0.029411764705882353,4.0,0.0,,19.0,0.0,0.0,
48113007827,70.0,23.0,0.32857142857142857,7.0,4.0,,38.0,11.0,0.2894736842105263,
48113007829,39.0,3.0,0.07692307692307693,1.0,0.0,,23.0,1.0,0.043478260869565216,
48113007830,3.0,0.0,0.0,1.0,0.0,,2.0,0.0,,
48113007832,17.0,4.0,0.23529411764705882,5.0,1.0,,2.0,1.0,,
48113007833,37.0,11.0,0.2972972972972973,9.0,5.0,,18.0,4.0,0.2222222222222222,
48113007834,16.0,5.0,0.3125,1.0,1.0,,3.0,2.0,,
48113007835,61.0,4.0,0.06557377049180328,8.0,0.0,,38.0,3.0,0.07894736842105263,
48113007902,218.0,10.0,0.045871559633027525,1.0,0.0,,169.0,7.0,0.04142011834319527,
48113007903,77.0,4.0,0.05194805194805195,0.0,0.0,,62.0,4.0,0.06451612903225806,
48113007906,73.0,6.0,0.0821917808219178,1.0,1.0,,50.0,2.0,0.04,
48113007913,94.0,3.0,0.031914893617021274,5.0,1.0,,66.0,1.0,0.015151515151515152,
48113007914,74.0,5.0,0.06756756756756757,3.0,0.0,,48.0,1.0,0.020833333333333332,
