GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113016421,3931,60852,10.5,49.1,59.6,1,5157716.570000001,498328120.8599999,0.003529768970973736,0.3410391235157144
48113016414,1941,75884,31.1,11.5,42.6,1,2827149.64,428038339.9499999,0.0019348067967937148,0.292935144891573
48113000501,2036,83842,12.0,20.8,32.8,0,295486153.70000005,797358916.97,0.20222085539737908,0.5456858137999484
48113000503,2147,77750,14.3,12.7,27.0,0,296238153.70000005,797358916.97,0.20273549908323255,0.5456858137999484
48113000502,2233,119261,3.6,15.9,19.5,0,291786445.94,854381422.03,0.1996888989636197,0.5847101119125492
48113010905,3212,38353,93.2,1.2,94.4,1,508603.62,517466410.51,0.00034807133196171667,0.3541367298008303
48113000409,4139,69398,14.3,25.1,39.400000000000006,0,258868109.85,665274990.23,0.17716068909989566,0.4552919854761831
48113001902,5323,103958,10.7,13.2,23.9,0,291476837.59,854372634.03,0.1994770133487061,0.5847040976988374
48113000704,3332,134531,5.3,10.6,15.9,0,291786445.94,854379794.03,0.1996888989636197,0.5847089977637187
48113001705,2923,119342,7.8,13.9,21.7,0,291786445.94,854374984.03,0.1996888989636197,0.5847057059603556
48113000609,1628,91250,12.8,19.0,31.8,0,250150600.54999998,804687554.7,0.17119471686902626,0.5507012887117196
48113000611,2257,71020,9.9,28.8,38.7,0,285603541.29,804687554.7,0.19545752550835843,0.5507012887117196
48113003102,1723,104844,8.1,25.8,33.9,1,291484657.59000003,852168932.31,0.19948236509554573,0.583195957837531
48113010808,3267,47393,15.3,76.7,92.0,1,31839685.589999996,691800534.5,0.021790017484644673,0.4734451821149887
48113006702,2445,46667,0.5,86.8,87.3,1,90994485.6,831364923.01,0.062273587049898,0.568958388653114
48113010806,3684,119342,23.7,42.7,66.4,1,4340624.49,644378254.71,0.002970578439414071,0.44099095756352663
48113011004,2503,57949,63.7,32.3,96.0,1,4351524.489999999,622366810.73,0.002978038035392531,0.42592706040817546
48113011003,4022,59677,51.5,32.2,83.7,1,4070170.69,556773022.9,0.0027854888908966854,0.3810368626183871
