GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district,priority_rank
48113011105,Census Tract 111.05,Susceptible,1,5349,5349.0,43807.0,48.8,63.1,0,0,0.5,0.0,0.0,0.0,,44,44,0,0,0.0,0.0,,False,0.0,44.0,8.22583660497289,0.10168713985227525,0.0,0.0,0.05084356992613762,True,True,HIGH_PRESSURE_HIGH_READINESS,8,19
48113008704,Census Tract 87.04,Susceptible,1,4649,4649.0,17442.0,60.8,72.5,0,0,0.5,0.0,0.0,0.0,,39,39,0,0,0.0,0.0,,False,0.0,39.0,8.388900838890084,0.1037029269819658,0.0,0.0,0.0518514634909829,True,True,HIGH_PRESSURE_HIGH_READINESS,4,20
48113016803,Census Tract 168.03,Susceptible,1,6094,6094.0,53025.0,50.6,54.4,0,0,0.5,0.0,0.0,0.0,,56,56,0,0,0.0,0.0,,False,0.0,56.0,9.189366590088612,0.11359822112625662,0.0,0.0,0.05679911056312831,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,21
48113005700,Census Tract 57,Susceptible,1,5403,5403.0,36724.0,42.7,39.5,0,0,0.5,1.0,45.0,0.0,2015.0,65,65,0,0,0.0,0.0,,False,0.0,65.0,12.030353507310753,0.14871827612411592,0.0,0.0,0.07435913806205796,True,True,HIGH_PRESSURE_HIGH_READINESS,4,22
48113016406,Census Tract 164.06,Susceptible,1,4346,4346.0,57338.0,17.8,47.2,0,0,0.5,0.0,0.0,0.0,,58,58,0,0,0.0,0.0,,False,0.0,58.0,13.34560515416475,0.16497731269113491,0.0,0.0,0.08248865634556746,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,23
48113020200,Census Tract 202,Susceptible,1,4262,4262.0,36587.0,62.6,24.3,0,0,1.0,0.0,0.0,0.0,,60,60,0,0,0.0,0.0,,False,0.0,60.0,14.077897700610043,0.17402985508398333,0.0,0.0,0.08701492754199167,True,True,HIGH_PRESSURE_HIGH_READINESS,8,24
48113016706,Census Tract 167.06,Susceptible,1,2234,2234.0,43917.0,57.8,31.6,0,0,0.5,0.0,0.0,0.0,,32,32,0,0,0.0,0.0,,False,0.0,32.0,14.32408236347359,0.1770731703653684,0.0,0.0,0.0885365851826842,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,25
48113016526,Census Tract 165.26,Susceptible,1,4806,4806.0,51305.0,62.7,57.0,0,0,0.5,0.0,0.0,0.0,,73,71,2,0,0.0,0.0,,False,0.0,73.0,15.189346650020807,0.18776949886551322,0.0,0.0,0.09388474943275661,True,True,HIGH_PRESSURE_HIGH_READINESS,3,26
48113011702,Census Tract 117.02,Susceptible,1,5639,5639.0,57607.0,12.1,31.0,0,0,0.5,0.0,0.0,0.0,,96,95,1,0,0.0,0.0,,False,0.0,96.0,17.02429508778152,0.21045298595295248,0.0,0.0,0.10522649297647624,True,True,HIGH_PRESSURE_HIGH_READINESS,5,27
48113016707,Census Tract 167.07,Susceptible,1,4777,4777.0,57947.0,86.7,37.5,0,0,0.5,0.0,0.0,0.0,,83,83,0,0,0.0,0.0,,False,0.0,83.0,17.37492149884865,0.21478740184404005,0.0,0.0,0.10739370092202002,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,28
