GEOID,pop_2023,south_of_i30,bates_typology_v21,tif_present,oz_designated,in_pid,vendor_share_5mi,real_gent_signal,demo_change_real,vuln_index,cip_total_usd,cip_per_cap,pid_annual_budget,pid_per_cap,l3_tool_any,l4_pressure_proxy,l5_vendor_share,L1_cip_norm,L2_pid_norm,L3_tool_norm,L4_pressure_norm,L5_vendor_norm,capital_stack_score
48113011702,5639.0,1,Susceptible,0,0,0,0.0201737454484146,0,1,0.3383320977145174,0.0,0.0,0.0,0.0,0,1,0.0201737454484146,0.0,0.0,0.0,1.0,0.10102587351182678,0.22020517470236536
48113012000,10690.0,0,Susceptible,0,0,0,0.0126794003997888,0,1,0.5739846319622579,183000.0,17.118802619270348,0.0,0.0,0,1,0.0126794003997888,0.00116239923554027,0.0,0.0,1.0,0.06349576999820504,0.21293163384674907
48113012206,5125.0,0,Historic Loss,0,0,0,0.0480802869199391,1,1,-0.1896547264031073,700000.0,136.58536585365854,0.0,0.0,0,1,0.0480802869199391,0.00927440594913804,0.0,0.0,1.0,0.2407759628575978,0.2500100737613472
48113012207,7094.0,0,Susceptible,0,0,0,0.014652898067823,0,1,0.4713077000973438,2162000.0,304.76458979419226,0.0,0.0,0,1,0.014652898067823,0.02069409491279084,0.0,0.0,1.0,0.07337863118015657,0.21881454521858945
48113012208,2587.0,0,Susceptible,0,0,1,0.1047779300065049,0,0,0.6273017443300278,0.0,0.0,0.0,0.0,0,0,0.1047779300065049,0.0,0.0,0.0,0.0,0.5247058326742232,0.10494116653484464
48113010704,6716.0,1,Susceptible,0,0,0,0.0214610094444835,0,0,0.5619434349614898,1567340.0,233.37403216200119,0.0,0.0,0,0,0.0214610094444835,0.015846540357600258,0.0,0.0,0.0,0.10747222081881164,0.02466375223528238
48113980100,0.0,0,Susceptible,0,0,0,0.149533044477501,0,0,4.51127079759846,85000.0,0.0,0.0,0.0,0,0,0.149533044477501,0.0,0.0,0.0,0.0,0.7488300313816827,0.14976600627633654
48113000605,2217.0,0,Historic Loss,1,0,0,0.1996888989636197,0,0,-0.7377637677687702,12986768.0,5857.8114569237705,0.0,0.0,1,0,0.1996888989636197,0.39775653186177395,0.0,1.0,0.0,1.0,0.47955130637235477
48113016407,6320.0,1,Stable,0,0,0,0.0035297689709737,1,1,0.1526779456265345,0.0,0.0,0.0,0.0,0,1,0.0035297689709737,0.0,0.0,0.0,1.0,0.017676340494104135,0.2035352680988208
48113007101,2313.0,0,Historic Loss,1,0,0,0.1590735444802312,0,0,-1.3327390987644958,649750.0,280.9122351923908,0.0,0.0,1,0,0.1590735444802312,0.019074474699180877,0.0,1.0,0.0,0.7966068484819079,0.36313626463621773
