GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district
48113007914,Census Tract 79.14,Stable,0,3338,3338.0,70730.0,15.7,89.3,0,0,0.5,0.0,0.0,0.0,,1,1,0,0,0.0,0.0,,False,0.0,1.0,0.2995805871779509,0.003703391463790378,0.0,0.0,0.001851695731895189,False,False,LOW_PRESSURE_LOW_READINESS,9
48113013625,Census Tract 136.25,Stable,0,3014,3014.0,62250.0,44.7,100.0,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,11
48113018134,Census Tract 181.34,Historic Loss,0,5066,5066.0,93964.0,21.2,4.7,0,0,0.5,0.0,0.0,0.0,,152,152,0,0,0.0,0.0,,False,0.0,152.0,30.003947887879985,0.3709064246608975,0.0,0.0,0.18545321233044876,False,True,LOW_PRESSURE_HIGH_READINESS,9
48113017605,Census Tract 176.05,Stable,0,4040,4040.0,61042.0,39.5,30.7,0,0,0.5,0.0,0.0,0.0,,19,12,7,0,0.0,0.0,,False,0.0,19.0,4.702970297029703,0.05813774589517657,0.0,0.0,0.029068872947588285,False,True,LOW_PRESSURE_HIGH_READINESS,7
48113011701,Census Tract 117.01,Stable,1,6259,6259.0,58506.0,12.5,20.3,0,0,0.5,0.0,0.0,0.0,,25,21,4,0,0.0,0.0,,False,0.0,25.0,3.994248282473239,0.04937658054853923,0.0,0.0,0.024688290274269616,False,True,LOW_PRESSURE_HIGH_READINESS,5
48113011702,Census Tract 117.02,Susceptible,1,5639,5639.0,57607.0,12.1,31.0,0,0,0.5,0.0,0.0,0.0,,96,95,1,0,0.0,0.0,,False,0.0,96.0,17.02429508778152,0.21045298595295248,0.0,0.0,0.10522649297647624,True,True,HIGH_PRESSURE_HIGH_READINESS,5
48113012000,Census Tract 120,Susceptible,0,10690,10690.0,36948.0,41.2,78.1,0,0,0.5,4.0,752.0,488.0,2015.0,259,258,0,1,0.0,0.0,,False,0.0,488.0,45.650140318054255,0.564323414835599,0.0,0.0,0.2821617074177995,True,True,HIGH_PRESSURE_HIGH_READINESS,7
48113012206,Census Tract 122.06,Historic Loss,0,5125,5125.0,103036.0,39.4,10.9,0,0,0.5,0.0,0.0,0.0,,4,1,3,0,0.0,0.0,,False,0.0,4.0,0.7804878048780488,0.009648328356005683,0.0,0.0,0.004824164178002841,False,False,LOW_PRESSURE_LOW_READINESS,7
48113012207,Census Tract 122.07,Susceptible,0,7094,7094.0,55520.0,39.3,63.5,0,0,0.5,1.0,318.0,318.0,2016.0,87,86,0,0,0.0,0.0,,False,0.0,318.0,44.82661404003383,0.5541430482872942,0.0,0.0,0.2770715241436471,True,True,HIGH_PRESSURE_HIGH_READINESS,7
48113012208,Census Tract 122.08,Susceptible,0,2587,2587.0,32721.0,34.7,100.0,0,0,0.5,2.0,379.0,349.0,2006.0,223,223,0,0,0.0,0.0,,False,0.0,349.0,134.90529570931582,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,7
48113010704,Census Tract 107.04,Susceptible,1,6716,6716.0,42530.0,28.9,63.6,0,0,0.5,2.0,514.0,514.0,2021.0,350,104,0,246,0.0,1.0,Builders of Hope CDC,False,0.0,514.0,76.5336509827278,0.946102924799284,0.2916666666666667,0.0,0.560551462399642,True,True,HIGH_PRESSURE_HIGH_READINESS,3
48113980100,Census Tract 9801,Susceptible,0,0,0.0,,,42.0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,HIGH_PRESSURE_LOW_READINESS,6
48113000605,Census Tract 6.05,Historic Loss,0,2217,2217.0,109707.0,4.8,48.3,1,0,1.0,0.0,0.0,0.0,,37,37,0,0,0.0,0.0,,False,0.0,37.0,16.689219666215607,0.2063108101609808,0.0,0.0,0.1031554050804904,False,True,LOW_PRESSURE_HIGH_READINESS,14
48113016407,Census Tract 164.07,Stable,1,6320,6320.0,70323.0,11.1,49.7,0,0,0.5,0.0,0.0,0.0,,36,36,0,0,0.0,0.0,,False,0.0,36.0,5.69620253164557,0.0704160040222725,0.0,0.0,0.03520800201113625,False,True,LOW_PRESSURE_HIGH_READINESS,Outside City of Dallas
48113007101,Census Tract 71.01,Historic Loss,0,2313,2313.0,181944.0,0.0,46.7,1,0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,13
48113018002,Census Tract 180.02,Stable,0,3524,3524.0,75446.0,28.3,33.4,0,0,0.5,0.0,0.0,0.0,,14,14,0,0,0.0,0.0,,False,0.0,14.0,3.9727582292849033,0.04911092221505446,0.0,0.0,0.02455546110752723,False,True,LOW_PRESSURE_HIGH_READINESS,Outside City of Dallas
