GEOID,pop_2023,south_of_i30,bates_typology_v21,tif_present,oz_designated,in_pid,vendor_share_5mi,vuln_index,cip_total_usd,cip_per_cap,pid_annual_budget,pid_per_cap,l3_tool_any,institutional_parcel_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3,l5_vendor_share,L1_cip_norm,L2_pid_norm,L3_tool_norm,L4_sfr_norm,L5_vendor_norm,capital_stack_score
48113013625,3014.0,0,Stable,0,0,0,0.1390603580342984,1.0118555663454305,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,0.1390603580342984,0.0,0.0,0.0,0.0,0.6963850206797579,0.1392770041359516
48113018134,5066.0,0,Historic Loss,0,0,0,0.0040528178626727,-0.419185119415422,0.0,0.0,0.0,0.0,0,69,1989,3.469,WINDSOR HOMES CUMBERLAND LLC,CSH PROPERTY ONE LLC,2018 4 IH BORROWER LP,0.0040528178626727,0.0,0.0,0.0,0.2605308851891687,0.02029565931660058,0.056165308901153864
48113017605,4040.0,0,Stable,0,0,0,0.0125055035233551,0.4028896353476375,42000.0,10.396039603960396,0.0,0.0,0,31,946,3.277,RESICAP TEXAS OWNER LLC,RS RENTAL IIIA LLC,RESICAP TEXAS OWNER III LLC,0.0125055035233551,0.0007059108488514721,0.0,0.0,0.246111187882648,0.06262493102149566,0.061888405950599024
48113011701,6259.0,1,Stable,0,0,0,0.0201737454484146,0.3446846260884572,26283478.0,4199.309474356926,0.0,0.0,0,19,1604,1.185,RYAN TIMOTHY I LIVING TRUST,ZWJ LLC,MIDARY INVESTMENTS LLC,0.0201737454484146,0.28514109493234857,0.0,0.0,0.0889965693136826,0.10102587351182678,0.09503270755157159
48113011702,5639.0,1,Susceptible,0,0,0,0.0201737454484146,0.3383320977145174,0.0,0.0,0.0,0.0,0,16,1496,1.07,WEST FORK PROPERTIES LLC,RESICAP TEXAS OWNER II LLC,FYR SFR BORROWER LLC,0.0201737454484146,0.0,0.0,0.0,0.0803597714477978,0.10102587351182678,0.03627712899192491
48113012000,10690.0,0,Susceptible,0,0,0,0.0126794003997888,0.5739846319622579,183000.0,17.118802619270348,0.0,0.0,0,45,1305,3.448,BRAVADA INVESTMENTS LLC,BREWER FAMILY TRUST,RESIDENTIAL HOME OWNER 1 LLC,0.0126794003997888,0.00116239923554027,0.0,0.0,0.258953730796268,0.06349576999820504,0.06472238000600267
48113012206,5125.0,0,Historic Loss,0,0,0,0.0480802869199391,-0.1896547264031073,700000.0,136.58536585365854,0.0,0.0,0,9,1837,0.49,PATH ACQUISITIONS TRS LLC,GARLAND JCC LLC,PR BORROWER 26 LLC,0.0480802869199391,0.00927440594913804,0.0,0.0,0.0368002691676831,0.2407759628575978,0.05737012759488379
48113012207,7094.0,0,Susceptible,0,0,0,0.014652898067823,0.4713077000973438,2162000.0,304.76458979419226,0.0,0.0,0,20,1089,1.837,PATH ACQUISITIONS TRS LLC,NOSHI PROPERTIES LLC,RESIDENTIAL HOME OWNER 1 LLC,0.014652898067823,0.02069409491279084,0.0,0.0,0.13796345808374255,0.07337863118015657,0.046407236835338
48113012208,2587.0,0,Susceptible,0,0,1,0.1047779300065049,0.6273017443300278,0.0,0.0,0.0,0.0,0,0,14,0.0,,,,0.1047779300065049,0.0,0.0,0.0,0.0,0.5247058326742232,0.10494116653484464
48113010704,6716.0,1,Susceptible,0,0,0,0.0214610094444835,0.5619434349614898,1567340.0,233.37403216200119,0.0,0.0,0,3,745,0.403,2018 4 IH BORROWER LP,D&C ASSET HOLDING LLC,2018 1 IH BORROWER LP,0.0214610094444835,0.015846540357600258,0.0,0.0,0.030266343825665898,0.10747222081881164,0.030717021000415557
48113980100,0.0,0,Susceptible,0,0,0,0.149533044477501,4.51127079759846,85000.0,0.0,0.0,0.0,0,0,0,0.0,,,,0.149533044477501,0.0,0.0,0.0,0.0,0.7488300313816827,0.14976600627633654
48113000605,2217.0,0,Historic Loss,1,0,0,0.1996888989636197,-0.7377637677687702,12986768.0,5857.8114569237705,0.0,0.0,1,1,69,1.449,HOME SFR BORROWER IV LLC,,,0.1996888989636197,0.39775653186177395,0.0,1.0,0.10882365311014859,1.0,0.5013160369943845
48113016407,6320.0,1,Stable,0,0,0,0.0035297689709737,0.1526779456265345,0.0,0.0,0.0,0.0,0,22,1222,1.8,TRICON SFR 2020 2,WAYSTAR HOLDINGS LLC,RESICAP TEXAS OWNER LLC,0.0035297689709737,0.0,0.0,0.0,0.1351846622486318,0.017676340494104135,0.030572200548547184
48113007101,2313.0,0,Historic Loss,1,0,0,0.1590735444802312,-1.3327390987644958,649750.0,280.9122351923908,0.0,0.0,1,1,473,0.211,HUDSON HENLEY PROPERTIES,,,0.1590735444802312,0.019074474699180877,0.0,1.0,0.01584664651914517,0.7966068484819079,0.36630559394004675
48113018002,3524.0,0,Stable,0,0,0,0.0094746593844327,0.0412644281690248,0.0,0.0,0.0,0.0,0,33,926,3.564,PR BORROWER 26 LLC,TRUE DFW HOMES-1 LLC,GLENDORA PROPERTIES LLC,0.0094746593844327,0.0,0.0,0.0,0.2676656312522909,0.04744710113384341,0.06302254647722687
48113009105,3480.0,1,Stable,0,0,0,0.0106183393935664,0.4400026215455733,0.0,0.0,0.0,0.0,0,9,954,0.943,ROBERT ANTHONY HOLDINGS LLC,STAR 2021 SFR1 BORROWER LP,THREE TIMES BETTER LLC,0.0106183393935664,0.0,0.0,0.0,0.07082174250025543,0.05317441003819096,0.024799230507689278
48113012210,4166.0,0,Susceptible,0,0,0,0.0163899353169198,0.4448131310328227,2330478.0,559.4042246759482,0.0,0.0,0,15,416,3.606,GARLAND MAIN STREET JV LLC,,,0.0163899353169198,0.03798461011457325,0.0,0.0,0.27081994003809234,0.08207734832523565,0.07817637969558025
48113009610,5055.0,0,Susceptible,0,0,0,0.0576737901169373,0.3949238573953652,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,0.0576737901169373,0.0,0.0,0.0,0.0,0.2888182088051104,0.057763641761022076
48113014121,5365.0,0,Historic Loss,0,0,0,0.0416789343363933,-0.3906629427979649,0.0,0.0,0.0,0.0,0,56,653,8.576,OAKS ESTATES OF COPPELL LLC,,,0.0416789343363933,0.0,0.0,0.0,0.6440798130245924,0.20871933569019566,0.1705598297429576
48113004201,4000.0,1,Historic Loss,1,0,0,0.1982927511664738,-0.2387939806633157,13210226.0,3302.5565,0.0,0.0,1,3,1043,0.288,JC LEASING LLP,BLUESTONE FINANCE LLC,FZ HOMES LLC,0.1982927511664738,0.2242498635159901,0.0,1.0,0.021629545959781084,0.9930083855217198,0.4477775589994982
48113017102,6659.0,1,Stable,0,0,0,0.1154201976076844,0.3499512351529554,63000.0,9.460880012013815,0.0,0.0,0,204,1786,11.422,CZ GA I LLC,CZ GA 1 LLC,CAMDEN HOMES LLC,0.1154201976076844,0.0006424117351013546,0.0,0.0,0.8578217845577069,0.5780000701426684,0.28729285328709536
48113011105,5349.0,1,Susceptible,0,0,0,0.0003567764751585,0.5825845125843423,891250.0,166.61992895868386,0.0,0.0,0,21,737,2.849,JDS HEAVENLY PLACE LLC,JUSTIN STATE PROPERTIES LLC,FKH SFR C1 LP,0.0003567764751585,0.01131380987063471,0.0,0.0,0.21396727930352888,0.0017866615370717193,0.04541355014224706
48113005901,5361.0,1,Susceptible,0,0,0,0.0016822527375274,0.5171286909404066,0.0,0.0,0.0,0.0,0,25,2010,1.244,TOP MONEY LLC,CAVADIAN PROPERTIES LLC,CS85 PROPERTIES LLC,0.0016822527375274,0.0,0.0,0.0,0.09342762213183219,0.008424367835459301,0.020370397993458297
48113006001,3824.0,1,Early: Type 1,0,0,0,0.0028614082172262,0.5931506325310651,0.0,0.0,0.0,0.0,0,4,719,0.556,CASH HOUSE BUYERS USA LLC,SANTIBANEZ PROPERTIES LLC,CAVADIAN PROPERTIES LLC,0.0028614082172262,0.0,0.0,0.0,0.0417570401167996,0.01432933043387407,0.011217274110134734
48113006002,6997.0,1,Early: Type 1,0,0,0,0.0016822527375274,0.4366927074047123,7579800.0,1083.2928397884807,0.0,0.0,0,6,245,2.449,A & R TEXAS PROPERTIES LLC,PAGAYA SMARTRESI F1 FUND,REVEST PROPERTIES,0.0016822527375274,0.07355764283530536,0.0,0.0,0.18392624324827736,0.008424367835459301,0.05318165078380841
48113006200,5514.0,1,Early: Type 2,0,0,0,0.1562565439769807,0.5382781438409189,1727000.0,313.202756619514,0.0,0.0,0,3,1308,0.229,VICTORY HOUSING VESTERS LLC,TX PROPERTY SALES LLC,RESCOM INVESTMENT GROUP LLC,0.1562565439769807,0.021267062478645824,0.0,0.0,0.01719849314163149,0.782499902538139,0.16419309163168325
48113006301,6308.0,1,Stable,0,0,0,0.0218733416576243,0.4477112909070407,6746612.0,1069.5326569435638,0.0,0.0,0,6,1641,0.366,MAR MAR INVESTMENTS LLC,JC LEASING LLP,NOSHI PROPERTIES LLC,0.0218733416576243,0.07262330026616909,0.0,0.0,0.02748754799055513,0.10953709380514584,0.04192958841237401
48113006302,3947.0,1,Stable,0,0,0,0.0867561787578751,-0.1141308428655762,1125000.0,285.0266024828984,0.0,0.0,0,5,1353,0.37,MAR MAR INVESTMENTS LLC,MOONROCK PROPERTIES LLC,CR PROPERTYWISE LLC,0.0867561787578751,0.019353848058380328,0.0,0.0,0.027787958351107644,0.4344566934273135,0.0963196999673603
48113006501,5972.0,1,Stable,0,0,0,0.0218679899107847,0.3177905991556936,0.0,0.0,0.0,0.0,0,10,1322,0.756,MAR MAR INVESTMENTS LLC,JYLC LP,TVU HOLDINGS LLC,0.0218679899107847,0.0,0.0,0.0,0.05677755814442535,0.10951029338275192,0.033257570305435455
48113006502,3729.0,1,Stable,0,0,0,0.0219825666291405,0.3698093607128849,4041478.0,1083.7967283454009,0.0,0.0,0,2,956,0.209,MAR MAR INVESTMENTS LLC,FITE REAL PROPERTY LLC,,0.0219825666291405,0.07359185782606073,0.0,0.0,0.015696441338868914,0.11008406948623314,0.039874473730232556
48113011300,5173.0,1,Susceptible,0,0,0,0.0002307744685105,0.5576564993692232,145322273.0,28092.45563502803,0.0,0.0,0,80,1910,4.188,CP ML 2024 TRM SFR LLC,FKH SFR C1 LP,TIMOTHY PROPERTIES LLC,0.0002307744685105,1.0,0.0,0.0,0.3145296474984833,0.0011556699932155148,0.26313706349833976
48113002100,3035.0,0,Historic Loss,1,0,1,0.1994770133487061,0.1732750154430566,107658717.0,35472.394398682045,9988175.675675675,3290.9969277349837,1,0,0,0.0,,,,0.1994770133487061,1.0,1.0,1.0,0.0,0.9989389214121903,0.7997877842824381
48113001202,3490.0,0,Stable,0,0,0,0.1393100021599227,-0.1664506379665288,650000.0,186.2464183381089,0.0,0.0,0,0,524,0.0,,,,0.1393100021599227,0.012646485803547318,0.0,0.0,0.0,0.69763518594643,0.14205633434999548
48113001203,1313.0,0,Historic Loss,0,0,0,0.1395218877748363,-0.7174873931780367,0.0,0.0,0.0,0.0,0,1,481,0.208,CR PROPERTYWISE LLC,,,0.1395218877748363,0.0,0.0,0.0,0.015621338748730784,0.6986962645342397,0.1428635206565941
48113016903,7673.0,1,Stable,0,0,0,0.1133017510519609,0.5207829752881404,0.0,0.0,0.0,0.0,0,17,1344,1.265,MOONROCK PROPERTIES LLC,ARMM ASSETS 2 LLC,RESICAP TEXAS OWNER LLC,0.1133017510519609,0.0,0.0,0.0,0.0950047765247329,0.5673913354222198,0.13247922238939053
48113016617,5210.0,1,Historic Loss,0,0,0,0.0006199455395022,0.056184870113005,0.0,0.0,0.0,0.0,0,20,1697,1.179,HPA II TEXAS SUB 2020 1 LLC,SRP SUB LLC,HPA II TEXAS SUB 2020-1 ML LLC,0.0006199455395022,0.0,0.0,0.0,0.08854595377285382,0.003104556851781454,0.018330102124927056
48113008703,3426.0,1,Early: Type 1,0,0,0,0.031042481675058,0.4557449697547098,80000.0,23.35084646818447,0.0,0.0,0,20,1220,1.639,STAR 2021 SFR1 BORROWER LP,SANTIBANEZ PROPERTIES LLC,A & R TEXAS PROPERTIES LLC,0.031042481675058,0.0015855668581213395,0.0,0.0,0.12309314523639306,0.15545421821727542,0.05602658606235796
48113014002,2382.0,0,Historic Loss,0,0,0,0.0476864409680535,-0.409968949781778,0.0,0.0,0.0,0.0,0,14,1006,1.392,FIRST TEXAS HOMES LLC,MOONROCK PROPERTIES LLC,,0.0476864409680535,0.0,0.0,0.0,0.10454280547227525,0.23880366517891038,0.06866929413023712
48113014124,4213.0,0,Historic Loss,0,0,0,0.0701238758569302,-0.7874676834837396,0.0,0.0,0.0,0.0,0,1,1737,0.058,NEPTUNE VENTURES LLC,,,0.0701238758569302,0.0,0.0,0.0,0.004355950228011469,0.35116561922506123,0.07110431389061454
48113014209,3433.0,0,Historic Loss,0,0,0,0.1194844442215445,-0.7218477451232398,0.0,0.0,0.0,0.0,0,0,165,0.0,,,,0.1194844442215445,0.0,0.0,0.0,0.0,0.5983529622410947,0.11967059244821894
48113018508,1435.0,0,Susceptible,0,0,0,0.0512921566673955,0.2931611165949676,2724650.0,1898.7108013937282,0.0,0.0,0,0,0,0.0,,,,0.0512921566673955,0.12892607229244366,0.0,0.0,0.0,0.2568603309127372,0.07715728064103618
48113015304,4353.0,0,Stable,0,0,0,0.0283779731482009,0.5637295972852726,0.0,0.0,0.0,0.0,0,1,300,0.333,ARNS INVESTMENTS LLC,,,0.0283779731482009,0.0,0.0,0.0,0.025009162515996882,0.1421109200134903,0.033424016505897436
48113016406,4346.0,1,Susceptible,0,0,0,0.0038089811009542,0.342182409668555,0.0,0.0,0.0,0.0,0,18,752,2.394,M4 LEASING LP,TRICON SFR 2020 2,RESICAP TEXAS OWNER LLC,0.0038089811009542,0.0,0.0,0.0,0.1797956007906803,0.019074576106747624,0.03977403537948558
48113018205,4021.0,0,Stable,0,0,0,0.0051814538240063,0.3469184945475844,0.0,0.0,0.0,0.0,0,16,869,1.841,TRICON SFR 2020 2,STAR 2021 SFR1 BORROWER LP,BT CAYMAN LLC,0.0051814538240063,0.0,0.0,0.0,0.13826386844429506,0.02594763079418993,0.032842299847697
48113011500,4641.0,1,Dynamic,0,1,0,0.0583199301440602,0.6448691843084969,2762000.0,595.1303598362422,0.0,0.0,1,40,600,6.667,SDMC INVESTMENTS LLC,RCGA LLC,MDD HOMES LLC,0.0583199301440602,0.04041048259658824,0.0,1.0,0.5007089684509045,0.29205394214069563,0.36663467863763766
48113005902,4992.0,1,Susceptible,0,0,0,0.0016822527375274,0.5308546052290225,3700000.0,741.1858974358975,0.0,0.0,0,13,972,1.337,REVEST PROPERTIES INVESTMENTS,PERSPECTIVE PLUS LLC,REVEST PROPERTIES,0.0016822527375274,0.05032793120722587,0.0,0.0,0.10041216301467816,0.008424367835459301,0.03183289241147267
48113007601,1976.0,0,Historic Loss,0,0,0,0.1550152813246478,-1.3970658047769773,0.0,0.0,0.0,0.0,0,1,799,0.125,JC LEASING LLP,,,0.1550152813246478,0.0,0.0,0.0,0.009387823767266096,0.7762839202838675,0.15713434881022673
48113007604,2882.0,0,Stable,0,0,0,0.1213756596852838,-1.8492042662661656,586500.0,203.50451075641917,0.0,0.0,0,1,1225,0.082,MILLER FAMILY TRUST,,,0.1213756596852838,0.013818343081190386,0.0,0.0,0.00615841239132656,0.6078237714525965,0.12556010538502269
48113007605,1614.0,0,Historic Loss,0,0,0,0.1204343329265785,-1.4388284939193294,9912500.0,6141.573729863692,0.0,0.0,0,1,584,0.171,BROWN FAMILY TRUST,,,0.1204343329265785,0.4170245295410762,0.0,0.0,0.012842542913620022,0.6031098050599188,0.206595375502923
48113007801,2517.0,0,Historic Loss,0,0,0,0.0881835902213543,-1.0112646431985035,281750.0,111.93881605085419,0.0,0.0,0,1,818,0.122,BYPASS TRUST,,,0.0881835902213543,0.007600858371853918,0.0,0.0,0.00916251599685171,0.4416048697700518,0.09167364882775149
48113007805,2484.0,0,Stable,0,0,0,0.1066032798725659,-0.2895714150562697,11788646.0,4745.831723027375,0.0,0.0,0,3,1020,0.294,VSP DALLAS LLC,BTH RESIDENTIAL LLC,WHITE ORCHID HOLDING CO,0.1066032798725659,0.32225099439138893,0.0,0.0,0.022080161500609857,0.5338468008278588,0.17563559134397153
48113004700,2560.0,1,Historic Loss,1,0,0,0.1716450049778937,0.0026126475960945,18358020.0,7171.1015625,0.0,0.0,1,0,262,0.0,,,,0.1716450049778937,0.4869314261996512,0.0,1.0,0.0,0.8595620781562066,0.46929870087117154
48113004800,2486.0,1,Late,1,0,0,0.1709804931840483,0.4386218308597086,17016479.0,6844.923169750603,0.0,0.0,1,3,294,1.02,BISMUTH BRIDGE PROPCO LLC,FZ HOMES LLC,NEW DIMENSION HOMES LLC,0.1709804931840483,0.46478329336500707,0.0,1.0,0.07660464194089135,0.8562343428775094,0.4795244556366816
48113005000,3018.0,1,Early: Type 2,0,0,0,0.1562511374808128,0.6405306880088013,780000.0,258.44930417495027,0.0,0.0,0,4,732,0.546,JC LEASING LLP,FF I BORROWER II LLC,STAR BORROWER SFR4 LP,0.1562511374808128,0.0175491989878251,0.0,0.0,0.041006014215418315,0.7824728279426258,0.16820560822917385
48113005100,2620.0,1,Stable,0,0,0,0.1562511374808128,0.4252060007017936,153879.0,58.7324427480916,0.0,0.0,0,4,697,0.574,JC LEASING LLP,PC LO 2222 LLC,,0.1562511374808128,0.0039880444952933415,0.0,0.0,0.04310888673928591,0.7824728279426258,0.16591395183544103
48113005200,4159.0,1,Stable,0,0,0,0.1509370691973802,-0.0236512629089426,0.0,0.0,0.0,0.0,0,4,1102,0.363,NEW DIMENSION HOMES LLC,143 HOLDINGS LLC,FF I BORROWER II LLC,0.1509370691973802,0.0,0.0,0.0,0.027262240220140743,0.7558610918320435,0.15662466641043687
48113002500,4869.0,0,Susceptible,0,0,0,0.1395019573837054,0.6016403412778295,257437.0,52.872663791332926,0.0,0.0,0,11,1383,0.795,MUENNINK 35 HOLMES LLC,RCGA LLC,PAGAYA SMARTRESI F1 FUND,0.1395019573837054,0.0035901543664531525,0.0,0.0,0.05970655915981238,0.6985964573279587,0.15237863417084485
48113019019,7655.0,0,Susceptible,0,0,0,0.0512921566673955,0.4970798869242157,368879.0,48.187981711299805,0.0,0.0,0,20,717,2.789,LAS BRISAS PROPERTIES INC,GARLAND MAIN STREET JV LLC,AMERSON PROPERTIES LLC,0.0512921566673955,0.0032720555490481414,0.0,0.0,0.20946112389524116,0.2568603309127372,0.09391870207140529
