GEOID,tract_name,in_pid,pid_name,pid_annual_budget,pid_per_capita
48113008704,Census Tract 87.04,False,,,
48113008705,Census Tract 87.05,False,,,
48113008801,Census Tract 88.01,False,,,
48113008802,Census Tract 88.02,False,,,
48113009001,Census Tract 90.01,False,,,
48113009002,Census Tract 90.02,False,,,
48113009101,Census Tract 91.01,False,,,
48113009103,Census Tract 91.03,False,,,
48113009104,Census Tract 91.04,False,,,
48113009105,Census Tract 91.05,False,,,
48113009202,Census Tract 92.02,False,,,
48113009203,Census Tract 92.03,False,,,
48113009204,Census Tract 92.04,False,,,
48113009301,Census Tract 93.01,False,,,
48113009303,Census Tract 93.03,False,,,
48113009304,Census Tract 93.04,False,,,
48113009401,Census Tract 94.01,False,,,
48113009402,Census Tract 94.02,False,,,
48113009500,Census Tract 95,False,,,
48113009603,Census Tract 96.03,False,,,
48113009604,Census Tract 96.04,False,,,
48113009605,Census Tract 96.05,False,,,
48113009607,Census Tract 96.07,False,,,
48113009608,Census Tract 96.08,False,,,
48113009609,Census Tract 96.09,False,,,
48113009610,Census Tract 96.10,False,,,
48113009611,Census Tract 96.11,False,,,
48113009701,Census Tract 97.01,False,,,
48113009702,Census Tract 97.02,False,,,
48113009802,Census Tract 98.02,False,,,
48113009803,Census Tract 98.03,False,,,
48113009804,Census Tract 98.04,False,,,
48113009900,Census Tract 99,False,,,
48113010001,Census Tract 100.01,False,,,
48113010002,Census Tract 100.02,False,,,
48113010003,Census Tract 100.03,False,,,
48113010101,Census Tract 101.01,False,,,
48113010102,Census Tract 101.02,False,,,
48113010500,Census Tract 105,False,,,
48113010601,Census Tract 106.01,False,,,
48113010602,Census Tract 106.02,False,,,
48113010701,Census Tract 107.01,False,,,
48113010704,Census Tract 107.04,False,,,
48113010804,Census Tract 108.04,False,,,
48113010805,Census Tract 108.05,False,,,
48113010806,Census Tract 108.06,False,,,
48113010807,Census Tract 108.07,False,,,
48113010808,Census Tract 108.08,False,,,
48113010809,Census Tract 108.09,False,,,
48113010903,Census Tract 109.03,False,,,
48113010904,Census Tract 109.04,False,,,
48113010905,Census Tract 109.05,False,,,
48113010906,Census Tract 109.06,False,,,
48113011002,Census Tract 110.02,False,,,
48113011003,Census Tract 110.03,False,,,
48113011004,Census Tract 110.04,False,,,
48113011101,Census Tract 111.01,False,,,
48113011103,Census Tract 111.03,False,,,
48113011104,Census Tract 111.04,False,,,
48113011105,Census Tract 111.05,False,,,
48113011201,Census Tract 112.01,False,,,
48113011202,Census Tract 112.02,False,,,
48113011300,Census Tract 113,False,,,
48113011401,Census Tract 114.01,False,,,
48113011500,Census Tract 115,False,,,
48113011601,Census Tract 116.01,False,,,
48113011603,Census Tract 116.03,False,,,
48113011604,Census Tract 116.04,False,,,
48113011701,Census Tract 117.01,False,,,
48113011702,Census Tract 117.02,False,,,
48113011801,Census Tract 118.01,False,,,
48113011802,Census Tract 118.02,False,,,
48113011901,Census Tract 119.01,False,,,
48113011902,Census Tract 119.02,False,,,
48113012000,Census Tract 120,False,,,
48113012101,Census Tract 121.01,False,,,
48113012102,Census Tract 121.02,False,,,
48113012206,Census Tract 122.06,False,,,
48113012207,Census Tract 122.07,False,,,
48113012208,Census Tract 122.08,True,Far East Dallas PID,,
48113012209,Census Tract 122.09,False,,,
48113012210,Census Tract 122.10,False,,,
48113012211,Census Tract 122.11,True,Far East Dallas PID,,
48113012212,Census Tract 122.12,False,,,
48113012213,Census Tract 122.13,False,,,
48113012301,Census Tract 123.01,False,,,
48113012302,Census Tract 123.02,False,,,
48113012400,Census Tract 124,False,,,
48113012501,Census Tract 125.01,False,,,
48113012502,Census Tract 125.02,False,,,
48113012601,Census Tract 126.01,False,,,
48113012603,Census Tract 126.03,False,,,
