code_str,202/PRAC,811/PRAC,Housing Choice Vouchers,Mod Rehab,Project Based Section 8,Public Housing,Summary of All HUD Programs
48113009603,0,0,16,0,0,0,16
48113009604,0,0,7,0,0,0,7
48113009605,0,0,93,0,0,0,93
48113009607,0,0,1,0,0,1,2
48113009608,0,0,2,0,1,4,8
48113009609,0,0,0,0,0,0,0
48113009610,0,0,5,0,0,0,5
48113009611,0,0,48,0,0,0,48
48113009701,0,0,1,0,0,3,4
48113009702,0,0,0,0,0,0,0
48113009802,0,0,0,0,0,0,0
48113009803,0,0,0,0,0,0,0
48113009804,0,0,7,0,0,0,7
48113009900,0,0,52,0,0,0,52
48113010001,0,0,215,0,0,0,215
48113010002,0,0,0,0,0,0,0
48113010003,0,0,25,0,0,0,25
48113010101,0,0,14,0,0,0,14
48113010102,0,0,1,0,0,0,1
48113010500,0,0,2,0,0,0,2
48113010601,0,0,0,0,0,0,0
48113010602,0,0,0,0,280,0,280
48113010701,0,0,77,0,0,0,77
48113010704,0,0,104,0,246,0,350
48113010804,0,0,191,0,0,0,191
48113010805,0,0,85,0,150,0,235
48113010806,0,0,5,0,0,0,5
48113010807,0,0,24,0,0,0,24
48113010808,0,0,72,0,0,0,72
48113010809,0,0,22,0,0,1,23
48113010903,0,0,202,0,0,0,202
48113010904,0,0,241,0,0,0,241
48113010905,0,0,229,0,0,0,229
48113010906,0,0,71,0,0,0,71
48113011002,0,0,10,0,0,0,10
48113011003,0,0,12,0,0,0,12
48113011004,0,0,49,0,0,0,49
48113011101,0,0,28,0,0,0,28
48113011103,0,0,11,0,0,0,11
48113011104,0,0,23,0,0,0,23
48113011105,0,0,44,0,0,0,44
48113011201,0,0,211,0,0,0,211
48113011202,0,0,13,0,0,0,13
48113011300,0,0,92,0,0,0,92
48113011401,0,0,355,0,290,0,646
48113011500,0,0,222,0,0,128,350
48113011601,0,0,92,0,0,0,92
48113011603,0,0,5,0,0,0,5
48113011604,0,0,7,0,0,0,7
48113011701,0,0,21,0,0,4,25
48113011702,0,0,95,0,0,1,96
48113011801,0,0,131,0,99,5,235
48113011802,0,0,11,0,0,0,11
48113011901,0,0,21,0,0,1,22
48113011902,0,0,17,0,0,3,20
48113012000,0,0,258,0,1,0,259
48113012101,0,0,183,0,0,0,183
48113012102,0,0,22,0,0,2,24
48113012206,0,0,1,0,0,3,4
48113012207,1,0,86,0,0,0,87
48113012208,0,0,223,0,0,0,223
48113012209,0,0,1,0,0,0,1
48113012210,0,0,86,0,171,0,257
48113012211,0,0,80,0,0,0,80
48113012212,0,0,30,0,0,4,35
48113012213,0,0,44,0,0,2,46
48113012301,0,0,1,0,0,2,3
48113012302,0,0,321,0,167,0,488
48113012400,0,0,0,0,0,3,3
48113012501,0,0,2,0,0,0,2
48113012502,0,0,5,0,0,0,5
48113012601,0,0,7,0,0,6,13
48113012603,0,0,0,0,0,0,0
48113012604,0,0,54,0,0,0,54
48113012701,1,0,128,0,200,0,329
48113012702,0,0,1,0,0,3,4
48113012801,0,0,1,0,0,0,1
48113012802,0,0,5,0,0,0,5
48113012900,0,0,0,0,0,0,0
48113013005,0,0,0,0,0,1,1
48113013007,0,0,8,0,0,0,8
48113013008,0,0,0,0,0,0,0
48113013009,0,0,0,0,0,0,0
48113013010,0,0,1,0,0,0,1
48113013011,0,0,78,0,0,0,78
48113013012,0,0,0,0,0,122,122
48113013013,0,0,0,0,0,0,0
48113013101,0,0,0,0,0,0,0
48113013102,0,0,0,0,0,0,0
48113013104,0,0,0,0,0,0,0
48113013106,0,0,1,0,0,0,1
48113013107,0,0,1,0,0,0,1
48113013201,0,0,1,0,0,0,1
48113013202,0,0,229,0,0,0,229
48113013300,0,0,0,0,0,0,0
48113013400,0,0,0,0,0,0,0
48113013500,0,0,0,0,0,0,0
48113013605,0,0,2,0,0,0,2
48113013606,0,0,12,0,0,0,12
48113013607,0,0,5,0,0,0,5
48113013608,0,0,0,0,0,0,0
48113013609,1,0,8,0,0,0,9
48113013610,0,0,2,0,0,0,2
48113013611,0,0,0,0,0,0,0
48113013615,0,0,8,0,0,0,8
48113013617,0,0,0,0,0,0,0
48113013618,1,0,0,0,0,0,1
48113013619,0,0,1,0,0,0,1
48113013620,0,0,7,0,0,0,7
48113013621,0,0,9,0,0,0,9
48113013622,0,0,0,0,0,0,0
48113013624,0,0,0,0,0,0,0
48113013625,0,0,0,0,0,0,0
48113013626,0,0,1,0,0,0,1
48113013627,0,0,0,0,0,0,0
48113013628,0,0,0,0,0,0,0
48113013629,0,0,5,0,0,0,5
48113013630,0,0,2,0,0,0,2
48113013631,0,0,10,0,0,0,10
48113013715,0,0,0,0,0,0,0
48113013716,0,0,0,0,0,0,0
48113013717,0,0,0,0,0,0,0
48113013718,0,0,43,0,0,0,43
48113013719,0,0,1,0,0,0,1
48113013720,0,0,13,0,0,0,13
48113013721,0,0,2,0,0,0,2
48113013722,0,0,2,0,1,0,3
48113013725,0,0,4,0,0,0,4
48113013726,0,0,1,0,0,0,1
48113013727,0,0,0,0,0,0,0
48113013728,0,0,4,0,0,0,4
48113013729,0,0,0,0,0,0,0
48113013804,0,0,2,0,0,0,2
48113013805,0,0,1,0,0,0,1
48113013806,0,0,0,0,0,0,0
48113013807,0,0,1,0,0,0,1
48113013808,0,0,0,0,0,0,0
48113013901,0,0,0,0,0,0,0
48113013902,0,0,1,0,0,0,1
48113014001,0,0,0,0,0,0,0
48113014002,0,0,0,0,0,0,0
48113014119,0,0,5,0,0,0,5
48113014120,0,0,6,0,0,0,6
48113014121,0,0,15,0,0,0,15
48113014123,0,0,2,0,0,0,2
48113014124,0,0,0,0,0,0,0
48113014126,0,0,2,0,0,0,2
48113014128,0,0,0,0,0,0,0
48113014130,0,0,68,0,0,0,68
48113014132,0,0,225,0,0,0,225
48113014134,0,0,1,0,0,0,1
48113014135,0,0,1,0,0,0,1
48113014138,0,0,0,0,0,0,0
48113014139,0,0,2,0,0,0,2
48113014140,0,0,2,0,0,0,2
48113014141,0,0,1,0,0,0,1
48113014142,0,0,69,0,0,0,69
48113014143,0,0,1,0,0,0,1
48113014144,0,0,6,0,0,0,6
48113014145,0,0,16,0,0,0,16
48113014146,0,0,0,0,0,0,0
48113014147,0,0,0,0,0,0,0
48113014148,0,0,1,0,0,0,1
48113014149,0,0,0,0,0,0,0
48113014150,0,0,0,0,0,0,0
48113014151,0,0,0,0,0,0,0
48113014152,0,0,0,0,0,0,0
48113014153,0,0,12,0,0,0,12
48113014154,0,0,23,0,0,0,23
48113014155,0,0,0,0,0,0,0
48113014156,0,0,2,0,0,0,2
48113014157,0,0,0,0,0,0,0
48113014158,0,0,0,0,0,0,0
48113014159,0,0,0,0,0,0,0
