gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,code_str,total_units_num
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000408,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000408,48113000408,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000408,11
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000408,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000408,48113000408,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000408,11
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000409,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000409,48113000409,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000409,10
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000409,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000409,48113000409,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000409,10
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000410,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000410,48113000410,25,76,20,100,4,20,1.0,20,191,1551,7506,7506,38,6,31,19,6,15,-1,65,10,100,100,-1,-1,30,-1,65,33,60,-1,50,35,15,-1,75,70,-1,-1,25,-1,5,-1,5,0,3,34,-1,-1,100,-1,-1,-1,20,95,79,,19100,19000,,,TX,,,2023-12-31,48113000410,25
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000410,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000410,48113000410,25,76,20,100,4,20,1.0,20,191,1551,7506,7506,38,6,31,19,6,15,-1,65,10,100,100,-1,-1,30,-1,65,33,60,-1,50,35,15,-1,75,70,-1,-1,25,-1,5,-1,5,0,3,34,-1,-1,100,-1,-1,-1,20,95,79,,19100,19000,,,TX,,,2023-12-31,48113000410,25
Census tract,TX Texas,TX Texas 113 Dallas County 48113000501,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000501,48113000501,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000501,0
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000502,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000502,48113000502,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000502,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000502,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000502,48113000502,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000502,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000503,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000503,48113000503,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000503,6
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000503,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000503,48113000503,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113000503,6
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000605,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000605,48113000605,37,75,30,100,6,77,1.1,32,118,1686,4010,3760,29,14,50,7,-1,3,-1,43,6,100,100,-1,3,20,3,52,60,50,-1,50,33,17,-1,73,67,-1,-1,27,-1,7,-1,7,0,4,11,27,134,93,7,-1,3,6,32,6,,19100,19000,,,TX,,,2023-12-31,48113000605,37
