hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,place2020,fips1990,fips2000,fips2010,fips2020,st2020,cnty2020,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,aff_period,aff_yrs,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat
TXA00000478,RESIDENCE AT THE OAKS,2740 DUNCANVILLE RD,DALLAS,TX,75211,TX1872,32.715986,-96.908328,1085.0,19000.0,19000.0,19000.0,48113010801,48113010801,48113010801,48113010808,48,113,2.0,,,209.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,209.0,2.0,,,,,,,X
TXA00000494,ROSELAND GARDENS*,2255 N WASHINGTON AVE,DALLAS,TX,75204,TX0411,32.800916,-96.790029,1085.0,19000.0,19000.0,19000.0,48113001600,48113001600,48113001600,48113001601,48,113,2.0,,,100.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,2.0,,,,,,,X
TXA00000495,ROSEMONT AT ASH CREEK,2605 JOHN W RD,DALLAS,TX,75228,TX3399,32.807252,-96.670911,1085.0,19000.0,19000.0,19000.0,48113012300,48113012302,48113012302,48113012302,48,113,2.0,,,278.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,278.0,2.0,,,,,,,X
TXA00000497,ROSEMONT AT BLUFF RIDGE,8125 CLARK RD,DALLAS,TX,75236,TX3295,32.66646,-96.945151,1085.0,19000.0,19000.0,19000.0,48113016501,48113016501,48113016521,48113016521,48,113,2.0,,,253.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,253.0,2.0,,,,,,FKA CLARKRIDGE VILLAGE APTS,X
TXA00000498,ROSEMONT AT CEDAR CREST,3303 SOUTHERN OAKS BLVD,DALLAS,TX,75216,TX3329,32.718736,-96.774017,1085.0,19000.0,19000.0,19000.0,48113008601,48113008604,48113008604,48113008604,48,113,2.0,,,256.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,256.0,2.0,,,,,,FKA SOUTHERN OAKS APTS,X
TXA00000501,ROSEMONT AT HICKORY TRACE,8410 S WESTMORELAND RD,DALLAS,TX,75237,TX3304,32.647189,-96.874055,1085.0,19000.0,19000.0,19000.0,48113016605,48113016605,48113016605,48113016635,48,113,2.0,,,180.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,180.0,2.0,,,,,,FKA HICKORY TRACE,X
TXA00000507,ROSEMONT AT MISSION TRAILS (LAURELAND),330 E CAMP WISDOM RD,DALLAS,TX,75241,TX4175,32.66206,-96.817321,1085.0,19000.0,19000.0,19000.0,48113011200,48113011200,48113011200,48113011201,48,113,2.0,,,249.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,249.0,2.0,,,,,,,X
TXA00000523,SANTA FE TRAILS,6318 RIDGECREST RD,DALLAS,TX,75231,TX0895,32.866933,-96.755141,1085.0,19000.0,19000.0,19000.0,48113007817,48113007818,48113007818,48113007831,48,113,2.0,,,88.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,88.0,2.0,,,,,,,X
TXA00000541,SOUTHDALE APTS,3727 DIXON AVE,DALLAS,TX,75210,TX1090,32.763053,-96.736751,1085.0,19000.0,19000.0,19000.0,48113011500,48113011500,48113011500,48113011500,48,113,2.0,,,187.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,187.0,2.0,,,,,,,X
TXA00000611,WAHOO FRAZIER TOWNHOMES,4848 HATCHER ST,DALLAS,TX,75210,TX4266,32.775144,-96.737908,1085.0,19000.0,19000.0,19000.0,48113002701,48113002701,48113002701,48113002703,48,113,2.0,,,95.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,95.0,2.0,,,,,,PROPERTY IDENTIFIED IN 2014 LIHTC TENANT DATA SUBMISSION.,X
TXA00001002,CITY SQUARE APARTMENT HOMES,705 WEST AVENUE B,GARLAND,TX,75040,TX5134,32.91098,-96.639103,,29000.0,29000.0,29000.0,48XXXXXXXXX,48113018802,48113018802,48113018802,48,113,2.0,2.0,,126.0,88.0,43.0,39.0,44.0,0.0,0.0,1.0,35.0,2.0,1.0,47.0,8888,2017,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,126.0,88.0,1.0,,,,,,,U
