NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 170.07; Dallas County; Texas,56422,189400,1571,1149,422,5642,699,432,4347,48,113,017007
Census Tract 170.08; Dallas County; Texas,87670,256600,2427,2333,94,6756,1146,2327,2674,48,113,017008
Census Tract 170.09; Dallas County; Texas,48302,49600,1390,998,392,5442,929,199,4117,48,113,017009
Census Tract 170.10; Dallas County; Texas,73907,205000,1748,1278,470,5828,1041,965,3814,48,113,017010
Census Tract 171.01; Dallas County; Texas,50473,162600,2000,1445,555,6381,961,600,4651,48,113,017101
Census Tract 171.02; Dallas County; Texas,60017,197100,1961,1282,679,6659,676,1349,4564,48,113,017102
Census Tract 172.01; Dallas County; Texas,50350,100500,1983,983,1000,6106,740,1062,4289,48,113,017201
Census Tract 172.03; Dallas County; Texas,71843,223100,1909,883,1026,5606,906,2452,2066,48,113,017203
Census Tract 172.04; Dallas County; Texas,72437,232700,1406,1084,322,5350,803,2042,2427,48,113,017204
Census Tract 173.07; Dallas County; Texas,101417,282800,1185,1052,133,4472,821,2172,963,48,113,017307
Census Tract 173.08; Dallas County; Texas,107826,281100,1416,1195,221,4887,929,1829,1428,48,113,017308
Census Tract 173.09; Dallas County; Texas,76023,243900,876,674,202,3142,283,1830,654,48,113,017309
Census Tract 173.10; Dallas County; Texas,118372,267400,1158,1029,129,3650,834,1284,1243,48,113,017310
Census Tract 173.11; Dallas County; Texas,55368,199600,1040,882,158,3015,933,829,1132,48,113,017311
Census Tract 173.12; Dallas County; Texas,98111,257200,1404,1262,142,4554,1420,931,2053,48,113,017312
Census Tract 173.13; Dallas County; Texas,120478,315100,1088,1036,52,4199,645,1831,934,48,113,017313
Census Tract 173.14; Dallas County; Texas,76667,231800,2578,2167,411,8558,1021,2218,4557,48,113,017314
Census Tract 173.15; Dallas County; Texas,93240,209800,2183,1746,437,7095,1100,2713,3091,48,113,017315
Census Tract 174; Dallas County; Texas,74032,179700,1802,1409,393,5528,1852,1094,2313,48,113,017400
Census Tract 175; Dallas County; Texas,107632,266400,1297,1114,183,3439,1611,407,1267,48,113,017500
Census Tract 176.02; Dallas County; Texas,76137,189800,1259,1097,162,3962,998,568,2246,48,113,017602
Census Tract 176.04; Dallas County; Texas,54097,171600,1056,671,385,3485,919,236,2294,48,113,017604
Census Tract 176.05; Dallas County; Texas,61042,174800,1153,799,354,4040,96,1590,2247,48,113,017605
Census Tract 176.06; Dallas County; Texas,58487,231300,1477,797,680,4787,597,666,3178,48,113,017606
Census Tract 177.03; Dallas County; Texas,48135,164500,1916,714,1202,5835,769,1681,3135,48,113,017703
Census Tract 177.04; Dallas County; Texas,66287,193100,2240,1226,1014,6688,1368,1428,3400,48,113,017704
Census Tract 177.05; Dallas County; Texas,49394,177100,1464,622,842,3334,799,1312,1117,48,113,017705
Census Tract 177.06; Dallas County; Texas,93750,229600,1703,1638,65,4943,1618,603,2075,48,113,017706
Census Tract 178.05; Dallas County; Texas,59888,223100,2132,1094,1038,5812,1170,1572,2967,48,113,017805
Census Tract 178.06; Dallas County; Texas,61834,196700,1553,828,725,5115,654,471,3903,48,113,017806
Census Tract 178.08; Dallas County; Texas,83180,272000,1653,1067,586,4435,1853,586,1439,48,113,017808
Census Tract 178.11; Dallas County; Texas,100750,251300,1765,1553,212,5137,2489,932,1284,48,113,017811
Census Tract 178.12; Dallas County; Texas,78079,246100,824,586,238,2060,828,425,586,48,113,017812
Census Tract 178.14; Dallas County; Texas,88207,254700,1716,1050,666,4821,1708,835,1325,48,113,017814
Census Tract 178.15; Dallas County; Texas,67978,246800,1217,587,630,3481,1364,628,1369,48,113,017815
Census Tract 178.16; Dallas County; Texas,71806,219300,1531,789,742,5859,727,281,4851,48,113,017816
Census Tract 178.17; Dallas County; Texas,54647,-666666666,1381,100,1281,2944,1436,857,552,48,113,017817
Census Tract 178.18; Dallas County; Texas,63573,205700,1343,628,715,3252,395,1030,1603,48,113,017818
Census Tract 178.19; Dallas County; Texas,41326,-666666666,1090,0,1090,1702,186,1044,224,48,113,017819
Census Tract 178.20; Dallas County; Texas,89766,212100,1403,1128,275,4382,943,931,2331,48,113,017820
Census Tract 179; Dallas County; Texas,57865,189500,1477,1029,448,5434,757,582,3994,48,113,017900
Census Tract 180.01; Dallas County; Texas,51121,198600,2375,1635,740,6816,1595,942,4178,48,113,018001
Census Tract 180.02; Dallas County; Texas,75446,219400,1091,727,364,3524,724,998,1666,48,113,018002
Census Tract 181.05; Dallas County; Texas,71157,192500,1676,1107,569,6039,582,429,4830,48,113,018105
Census Tract 181.10; Dallas County; Texas,92432,348300,1961,1514,447,5293,3190,329,813,48,113,018110
Census Tract 181.11; Dallas County; Texas,63202,250400,2039,1193,846,7181,1206,2051,3197,48,113,018111
Census Tract 181.20; Dallas County; Texas,102031,275500,1576,1340,236,5405,1533,1645,1384,48,113,018120
Census Tract 181.21; Dallas County; Texas,66165,240800,1573,1117,456,5081,983,785,2582,48,113,018121
Census Tract 181.26; Dallas County; Texas,95820,220800,2298,1816,482,6641,2514,1161,2565,48,113,018126
