GEOID,income_2013,home_val_2013,total_units_2013,owner_occ_2013,renter_occ_2013,pop_2013,white_2013,black_2013,hispanic_2013
48113019036,104904.0,187600.0,1011.0,976.0,35.0,2666.0,2159.0,23.0,176.0
48113019037,83199.0,154500.0,1175.0,1018.0,157.0,3788.0,2373.0,342.0,571.0
48113019038,64356.0,,564.0,0.0,564.0,849.0,545.0,86.0,29.0
48113019039,57996.0,164000.0,2264.0,1516.0,748.0,6172.0,2972.0,831.0,1431.0
48113019040,57353.0,227900.0,2474.0,565.0,1909.0,5659.0,1806.0,1347.0,412.0
48113019041,72679.0,187700.0,1048.0,879.0,169.0,2640.0,1699.0,379.0,108.0
48113019042,66058.0,185100.0,1797.0,1011.0,786.0,5109.0,2498.0,467.0,767.0
48113019043,102180.0,224400.0,2623.0,2558.0,65.0,7098.0,5075.0,335.0,355.0
48113019100,58377.0,127900.0,2272.0,1170.0,1102.0,5879.0,3174.0,452.0,984.0
48113019202,46848.0,163000.0,1666.0,886.0,780.0,4542.0,2068.0,198.0,1909.0
48113019203,70703.0,193100.0,1641.0,1314.0,327.0,3690.0,3141.0,16.0,366.0
48113019204,50631.0,138200.0,2676.0,1186.0,1490.0,9633.0,2664.0,956.0,5486.0
48113019205,102500.0,233700.0,1234.0,1126.0,108.0,3250.0,2942.0,0.0,138.0
48113019206,24583.0,151900.0,2550.0,1030.0,1520.0,5803.0,3659.0,148.0,596.0
48113019208,31529.0,105100.0,2055.0,390.0,1665.0,7235.0,507.0,1081.0,5235.0
48113019210,100833.0,264600.0,1380.0,1292.0,88.0,3758.0,3456.0,0.0,147.0
48113019211,55765.0,134100.0,2083.0,1042.0,1041.0,4851.0,3071.0,394.0,817.0
48113019212,27885.0,,1068.0,0.0,1068.0,3746.0,43.0,65.0,3616.0
48113019213,26310.0,62400.0,1395.0,70.0,1325.0,3524.0,721.0,559.0,2030.0
48113019301,,,923.0,901.0,22.0,2892.0,2798.0,0.0,57.0
48113019302,146944.0,864000.0,886.0,642.0,244.0,5179.0,4142.0,213.0,469.0
48113019400,113194.0,830500.0,1515.0,975.0,540.0,3886.0,3391.0,14.0,107.0
48113019501,228036.0,,2122.0,1837.0,285.0,7276.0,6965.0,0.0,115.0
48113019502,136344.0,840600.0,1691.0,1053.0,638.0,4227.0,3859.0,0.0,114.0
48113019600,193490.0,,895.0,706.0,189.0,2455.0,2119.0,0.0,152.0
48113019700,188462.0,,742.0,606.0,136.0,1809.0,1677.0,0.0,109.0
48113019800,191293.0,,1816.0,1573.0,243.0,4442.0,3961.0,0.0,291.0
