"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"0500000US48113","Dallas County, Texas","128300","1055",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","475000","91173",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","306600","29362",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","324400","28222",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","333300","35815",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","107000","40614",
"1400000US48113000404","Census Tract 4.04, Dallas County, Texas","109700","12799",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","180300","32112",
"1400000US48113000406","Census Tract 4.06, Dallas County, Texas","89800","10835",
"1400000US48113000500","Census Tract 5, Dallas County, Texas","217800","34919",
"1400000US48113000601","Census Tract 6.01, Dallas County, Texas","351800","188896",
"1400000US48113000603","Census Tract 6.03, Dallas County, Texas","295400","36084",
"1400000US48113000605","Census Tract 6.05, Dallas County, Texas","257000","43108",
"1400000US48113000606","Census Tract 6.06, Dallas County, Texas","255600","42395",
"1400000US48113000701","Census Tract 7.01, Dallas County, Texas","249700","30770",
"1400000US48113000702","Census Tract 7.02, Dallas County, Texas","215300","91379",
"1400000US48113000800","Census Tract 8, Dallas County, Texas","121400","33808",
"1400000US48113000900","Census Tract 9, Dallas County, Texas","310200","103699",
"1400000US48113001001","Census Tract 10.01, Dallas County, Texas","294800","67984",
"1400000US48113001002","Census Tract 10.02, Dallas County, Texas","247500","27661",
"1400000US48113001101","Census Tract 11.01, Dallas County, Texas","258000","29047",
"1400000US48113001102","Census Tract 11.02, Dallas County, Texas","300800","50787",
"1400000US48113001202","Census Tract 12.02, Dallas County, Texas","291700","37150",
"1400000US48113001203","Census Tract 12.03, Dallas County, Texas","258500","39402",
"1400000US48113001204","Census Tract 12.04, Dallas County, Texas","95100","9764",
"1400000US48113001301","Census Tract 13.01, Dallas County, Texas","302200","47941",
"1400000US48113001302","Census Tract 13.02, Dallas County, Texas","353800","111572",
"1400000US48113001400","Census Tract 14, Dallas County, Texas","300900","75446",
"1400000US48113001502","Census Tract 15.02, Dallas County, Texas","120700","60193",
"1400000US48113001503","Census Tract 15.03, Dallas County, Texas","-","**",
"1400000US48113001504","Census Tract 15.04, Dallas County, Texas","260000","168009",
"1400000US48113001600","Census Tract 16, Dallas County, Texas","217900","41097",
"1400000US48113001701","Census Tract 17.01, Dallas County, Texas","809200","895073",
"1400000US48113001703","Census Tract 17.03, Dallas County, Texas","440500","17224",
"1400000US48113001704","Census Tract 17.04, Dallas County, Texas","409000","142706",
"1400000US48113001800","Census Tract 18, Dallas County, Texas","249100","113193",
"1400000US48113001900","Census Tract 19, Dallas County, Texas","601100","112377",
"1400000US48113002000","Census Tract 20, Dallas County, Texas","75800","25361",
"1400000US48113002100","Census Tract 21, Dallas County, Texas","-","**",
"1400000US48113002200","Census Tract 22, Dallas County, Texas","246600","49441",
