GEOID,DISTRICT_NUM,south_of_i30,population,median_income,pct_black,pct_hispanic,pct_nonwhite,ami_ratio,below_80_ami,cip_per_capita,cip_per_capita_raw,cip_outlier,investment_gap,log_cip,log_income,holc_grade,holc_d,cip_drainage_share,cip_econdev_share,cip_parks_share,cip_streets_share
48113013630,11,0,2396,60769,31.5,38.6,70.1,0.6200918367346939,1,521.8726987507254,521.8726987507254,0,88.98536198114925,6.259338028606563,11.014835069506102,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113012211,7,1,4753,39439,32.8,52.7,85.5,0.40243877551020407,1,1455.2483827016522,1455.2483827016522,0,788.2403305667002,7.283618806722254,10.582510453425556,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113012400,2,0,4933,77606,2.0,31.5,33.5,0.7918979591836734,1,1040.9583243653617,1040.9583243653617,0,701.988005470555,6.948857225702865,11.259400022769933,None,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113016607,3,0,3667,27913,78.7,14.5,93.2,0.2848265306122449,1,501.72375581557026,501.72375581557026,0,-440.7091811009336,6.220040826028309,10.236847809109337,None,0,0.11903494505758273,0.0,0.0,0.8809650549424173
48113013609,11,0,3486,89375,4.3,41.6,45.9,0.9119897959183674,0,521.8726987507254,521.8726987507254,0,227.5383707154765,6.259338028606563,11.400596279996309,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113013610,11,0,3705,80053,4.9,38.9,43.8,0.8168673469387755,0,521.8726987507254,521.8726987507254,0,193.26377006410058,6.259338028606563,11.29044419429977,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113013611,12,0,2693,137327,4.1,11.2,15.3,1.401295918367347,0,1455.2483827016522,3048.1907212143647,1,1263.69005427279,7.283618806722254,11.830120222095301,None,0,0.04404139623159257,0.0,0.004234192790265588,0.9517244109781419
48113007914,9,0,3338,70730,15.7,8.0,23.7,0.7217346938775511,1,532.7493658553294,532.7493658553294,0,160.8261286412707,6.279926376449069,11.166625090030035,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113013625,11,0,3014,62250,44.7,21.5,66.2,0.6352040816326531,1,521.8726987507254,521.8726987507254,0,99.284255888872,6.259338028606563,11.038913814326953,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113017605,7,1,4040,61042,39.5,55.6,95.1,0.6228775510204082,1,1455.2483827016522,1455.2483827016522,0,1024.2970611828557,7.283618806722254,11.019317430821303,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113011701,5,0,6259,58506,12.5,76.8,89.3,0.597,1,536.7663720701469,536.7663720701469,0,87.13504249454144,6.287424213189074,10.976884592063174,None,0,0.05841713535232536,0.0,0.028294400858266303,0.9132884637894084
48113011702,5,0,5639,57607,12.1,80.0,92.1,0.5878265306122449,1,536.7663720701468,536.7663720701468,0,80.11821180923448,6.287424213189074,10.961399367077858,None,0,0.05841713535232536,0.0,0.028294400858266303,0.9132884637894084
48113012000,7,1,10690,36948,41.2,55.2,96.4,0.3770204081632653,1,1455.2483827016522,1455.2483827016522,0,743.2712643691208,7.283618806722254,10.5172667977125,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113012206,7,1,5125,103036,39.4,35.0,74.4,1.0513877551020407,0,1455.2483827016522,1455.2483827016522,0,1199.9382913923005,7.283618806722254,11.542833720708893,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113012207,7,1,7094,55520,39.3,51.7,91.0,0.566530612244898,1,1455.248382701652,1455.248382701652,0,981.4347917767534,7.283618806722254,10.924498595180687,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113012208,7,1,2587,32721,34.7,61.3,96.0,0.33388775510204083,1,1455.2483827016522,1455.2483827016522,0,651.2958577742241,7.283618806722254,10.395772352596852,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113010704,3,0,6716,42530,28.9,62.6,91.5,0.4339795918367347,1,501.72375581557026,501.72375581557026,0,-116.80741202243519,6.220040826028309,10.657964988247679,None,0,0.11903494505758273,0.0,0.0,0.8809650549424173
48113000605,14,0,2217,109707,4.8,15.0,19.8,1.1194591836734693,0,960.6623024151444,960.6623024151444,0,720.876959928791,6.868663352047305,11.605568454619503,None,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113007101,13,0,2313,181944,0.0,18.8,18.8,1.8565714285714285,0,720.4278836140196,720.4278836140196,0,575.8442173862222,6.581232419807328,12.11145422640425,A,0,0.036043220343681015,0.0,0.0,0.963956779656319
48113009105,5,0,3480,61804,7.6,85.5,93.1,0.6306530612244898,1,536.7663720701469,536.7663720701469,0,111.12837828090392,6.287424213189074,11.03172336627031,None,0,0.05841713535232536,0.0,0.028294400858266303,0.9132884637894084
48113012210,7,1,4166,46376,40.4,40.6,81.0,0.47322448979591836,1,1455.248382701652,1455.248382701652,0,888.012515698237,7.283618806722254,10.74453736301957,None,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113009610,6,1,5055,52348,0.0,85.1,85.1,0.5341632653061225,1,1144.4546608156195,1144.4546608156195,0,641.9305802748086,7.043556920853242,10.86566901117537,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113004201,1,0,4000,73234,7.6,45.8,53.4,0.7472857142857143,1,1097.3737013752673,1097.3737013752673,0,738.167177518174,7.001585911500769,11.201415072985869,B,0,0.22650695935956927,0.04656007317550518,0.030475388851786633,0.696457578613139
48113017102,8,1,6659,60017,20.3,68.5,88.8,0.6124183673469388,1,646.5226340567838,646.5226340567838,0,208.21131279530175,6.473153749034997,11.002383134406262,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113011105,8,1,5349,43807,48.8,46.7,95.5,0.44701020408163267,1,646.5226340567838,646.5226340567838,0,46.02201616123341,6.473153749034997,10.687548900946704,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113005901,4,0,5361,50917,58.1,39.3,97.4,0.5195612244897959,1,584.3445174446689,584.3445174446689,0,67.69721756151853,6.372200592596124,10.837952134989147,C,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
48113006001,4,0,3824,56585,3.7,78.9,82.60000000000001,0.5773979591836734,1,584.344517444669,584.344517444669,0,119.44868695690064,6.372200592596124,10.943499211400042,None,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
48113006002,4,0,6997,43573,65.2,14.9,80.10000000000001,0.44462244897959186,1,584.3445174446689,584.3445174446689,0,-19.380967790462364,6.372200592596124,10.682192971457658,None,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
48113006200,1,0,5514,44949,42.7,47.4,90.1,0.45866326530612245,1,1097.3737013752673,1097.3737013752673,0,512.1297455998247,7.001585911500769,10.713283792711254,None,0,0.22650695935956927,0.04656007317550518,0.030475388851786633,0.696457578613139
48113006301,4,0,6308,69562,8.7,89.0,97.7,0.7098163265306122,1,584.3445174446689,584.3445174446689,0,206.17640025208715,6.372200592596124,11.149973720211296,None,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
